outcome,scenario,data_did_pp,model_did_pp,gap_pp
job_finding,benefit_only,-1.7100000000000004,-1.5035670258335272,0.20643297416647322
job_finding,common_covid_only,-1.7100000000000004,0.23901778111877908,1.9490177811187794
job_finding,differential_covid_only,-1.7100000000000004,-0.046681649877634845,1.6633183501223656
job_finding,full,-1.7100000000000004,-1.3058629579009744,0.404137042099026
separation,benefit_only,3.72,1.6880437029213942,-2.0319562970786063
separation,common_covid_only,3.72,-1.3877787807814457e-15,-3.7200000000000015
separation,differential_covid_only,3.72,0.061363613812605994,-3.658636386187394
separation,full,3.72,3.72000000031716,3.171596318907177e-10
