HealthShareN,RHealthPremium,mu_post,kappa_N_multiplier,kappa_R_multiplier,predicted_post_N,predicted_post_R,R_target_gap_pp,did_full_pp,did_benefit_covid_env_pp,target_full_did_pp,elasticity_full_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,target_full_elasticity_logdid,target_to_structural_elasticity_ratio
0.0,1.0,0.05813767735625114,1.0,1.0,0.08209999979676308,0.053888570789684224,2.2688570789684226,-1.482946692804021,-1.2131058234643375,-3.75,-0.40182581525325667,-0.2942688696664305,1.3655056877363472,-1.1882751229801944,4.038059222258773
0.0,1.25,0.05813767735625114,1.0,1.25,0.08209999979676308,0.04499040697555823,1.379040697555823,-2.37276307421662,-1.0270313692674309,-3.75,-0.6608303199780929,-0.2952357448065534,2.238314064616692,-1.1882751229801944,4.024834878170951
0.0,1.5,0.05813767735625114,1.0,1.5,0.08209999979676308,0.038650553833400415,0.7450553833400417,-3.006748388432402,-0.8924784825797328,-3.75,-0.8793345898870728,-0.29627436382006345,2.9679739365540243,-1.1882751229801944,4.010725422405668
0.0,1.75,0.05813767735625114,1.0,1.75,0.08209999979676308,0.03389419072874173,0.26941907287417327,-3.48238469889827,-0.7900897603212214,-3.75,-1.0685186999315954,-0.29725247608119953,3.59465029196161,-1.1882751229801944,3.997528090079213
0.0,1.9,0.05813767735625114,1.0,1.8999999999999997,0.08209999979676308,0.031568711060525396,0.03687110605253979,-3.7149326657199033,-0.7394973735436418,-3.75,-1.1709964519812044,-0.29779428646090456,3.9322327701372366,-1.1882751229801944,3.990254941094027
0.0,2.0,0.05813767735625114,1.0,2.0,0.08209999979676308,0.030189420441258507,-0.10105795587414916,-3.8528617276465935,-0.7093077759415642,-3.75,-1.2354311365448276,-0.29813565937973197,4.14385564985795,-1.1882751229801944,3.9856859976172863
0.0,2.25,0.05813767735625114,1.0,2.25,0.08209999979676308,0.027220004276321205,-0.3979995723678794,-4.149803344140324,-0.6438182655457929,-3.75,-1.3848228283166064,-0.2989216999825452,4.632727662118441,-1.1882751229801944,3.9752052897115897
0.0,2.5,0.05813767735625114,1.0,2.5,0.08209999979676308,0.024785601039192504,-0.6414398960807495,-4.393243667853193,-0.5895857834770779,-3.75,-1.5200568425999186,-0.29961872214278845,5.073303936846474,-1.1882751229801944,3.9659575158788023
0.5,1.0,0.060942756573270376,1.2726515555881965,1.2726515555881965,0.08210000550700398,0.05317639136391792,2.197639136391792,-1.5541652064047413,-1.1983051991064977,-3.75,-0.42032844110093626,-0.2943258164636779,1.4281059206806213,-1.1882751229801944,4.037277929803473
0.5,1.25,0.060942756573270376,1.2726515555881965,1.5908144444852454,0.08210000550700398,0.04437536816338947,1.317536816338947,-2.4342675264575857,-1.0140613151404754,-3.75,-0.6800525522263582,-0.2953234992571271,2.302737689134118,-1.1882751229801944,4.023638911123723
