r_health_premium,post_R_fit_gap_pp,post_R_fit_ok,mu_pre,mu_post,kappa,search_curvature,offer_dispersion,health_N,health_R,differential_health_shock,differential_health_shock_pct_wage,sep_base,sep_amp,pre_loss,f_N_pre,f_R_pre,f_N_post,f_R_full,f_R_common_covid_baseline,f_N_common_covid_baseline,f_R_differential_covid_baseline,f_R_covid_only,f_R_pre_benefit,pre_gap_pp,common_covid_baseline_gap_pp,differential_covid_baseline_gap_pp,full_gap_pp,target_common_post_pp,target_did_pp,target_cell_did_pp,model_full_did_pp,structural_common_covid_x_baseline_gap_pp,differential_work_disutility_pp,supplement_effect_pp,predicted_jfr_rebound_if_supplement_removed_pp,supplement_effect_common_health_pp,decomposition_residual_pp,covid_market_benefit_pp,normal_market_benefit_pp,target_full_elasticity_logdid,model_full_elasticity_logdid,structural_common_covid_x_baseline_elasticity_logdid,differential_work_disutility_elasticity_logdid,supplement_effect_elasticity_covid_logdid,supplement_effect_common_health_elasticity_logdid,normal_market_benefit_elasticity_logdid,target_to_covid_benefit_ratio,target_to_normal_benefit_ratio,target_to_covid_benefit_elasticity_ratio,target_to_normal_benefit_elasticity_ratio,sep_N_pre,sep_R_pre,sep_N_post,sep_R_full,sep_R_common_covid_baseline,sep_N_common_covid_baseline,sep_R_differential_covid_baseline,sep_R_covid_only,sep_target_common_post_pp,sep_target_did_pp,sep_target_cell_did_pp,sep_model_full_did_pp,sep_structural_common_covid_x_baseline_gap_pp,sep_differential_work_disutility_pp,sep_covid_benefit_pp,predicted_sr_fall_if_supplement_removed_pp,sep_normal_benefit_pp,search_N_pre,search_R_pre,search_N_post,search_R_full,search_R_common_covid_baseline,search_R_differential_covid_baseline,search_R_covid_only,accept_N_pre,accept_R_pre,accept_N_post,accept_R_full,accept_R_common_covid_baseline,accept_R_differential_covid_baseline,accept_R_covid_only,surplus_N_post,surplus_R_full,surplus_R_common_covid_baseline,surplus_R_differential_covid_baseline,surplus_R_covid_only,contact_post,curvature_fit_gap_pp,curvature_fit_ok,assumed_r_health_premium
1.0,-0.7188404678803301,false,0.08432785434545813,0.07783069597332369,1.0118250264948316,3.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,4.879492716355157e-5,0.10458153337966866,0.08135967901623435,0.08229999985160726,0.0446115953211967,0.06290827157927134,0.08229999985160726,0.06290827157927134,0.06290827157927134,0.0589694096497121,-2.322185436343431,-1.9391728272335915,-1.9391728272335915,-3.7688404530410557,-1.79,-1.71,-1.7100000000000004,-1.4466550166976249,0.38301260910983936,0.0,-1.8296676258074642,1.8296676258074642,-1.8296676258074642,0.0,-1.8296676258074642,-2.2390269366522184,-0.4608247719843428,-0.5212314521123051,-0.02540046797428043,0.0,-0.49583098413802495,-0.49583098413802495,-0.4643472361951396,0.934595975728295,0.7637246216237055,0.9293989014935431,0.99241415919763,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.7644386227304145,0.6782142984486226,0.727833889446742,0.5439049637044331,0.6387158832750527,0.6387158832750527,0.6387158832750527,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.7065061596627027,2.1130885876426952,2.853907905189615,2.853907905189615,2.853907905189615,0.1675565577934622,-0.7188404678803301,false,1.0
1.0,-0.4275430327111099,false,0.08243284231970739,0.07603909243810643,1.0232378027365965,4.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,2.924850716497148e-5,0.10361174235174953,0.08260374913878471,0.08229999656017117,0.0475245696728889,0.06469024196362923,0.08229999656017117,0.06469024196362923,0.06469024196362923,0.061759580449422924,-2.1007993212964813,-1.7609754596541947,-1.7609754596541947,-3.4775426887282275,-1.79,-1.71,-1.7100000000000004,-1.3767433674317462,0.3398238616422866,0.0,-1.7165672290740328,1.7165672290740328,-1.7165672290740328,0.0,-1.7165672290740328,-2.0844168689361826,-0.4608247719843428,-0.46531046128669495,-0.02043591591992587,0.0,-0.444874545366769,-0.444874545366769,-0.4195443107755603,0.9961742080573358,0.8203733262208377,1.0358533136671686,1.0983935668975522,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.7988582192639868,0.7276761461918739,0.7693306998492823,0.6143211831449671,0.6953492456166174,0.6953492456166174,0.6953492456166174,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.5997562220648125,2.014053029434275,2.7458242554102306,2.7458242554102306,2.7458242554102306,0.15851870034006313,-0.4275430327111099,false,1.0
1.0,-0.2362979689719276,false,0.08095171344737231,0.07464755949804405,1.0023449692708442,5.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,1.935734126651941e-5,0.10300999504936265,0.08341455038597873,0.08229999962511854,0.04943702031028072,0.06583446545133138,0.08229999962511854,0.06583446545133138,0.06583446545133138,0.06359190571404301,-1.959544466338392,-1.6465534173787155,-1.6465534173787155,-3.2862979314837815,-1.79,-1.71,-1.7100000000000004,-1.3267534651453894,0.31299104895967655,0.0,-1.6397445141050662,1.6397445141050662,-1.6397445141050662,2.220446049250313e-16,-1.6397445141050662,-1.9822644671935785,-0.4608247719843428,-0.4308872709109297,-0.017636005148448167,0.0,-0.4132512657624815,-0.4132512657624815,-0.3914559176138228,1.0428453855406112,0.8626497767076251,1.1151200496242508,1.1772073207971105,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.8288663325239838,0.7677872613912213,0.8039173214115575,0.669115182481675,0.7402111374237164,0.7402111374237164,0.7402111374237164,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.531971434535901,1.9509570702696097,2.6771578139737655,2.6771578139737655,2.6771578139737655,0.15169879925785823,-0.2362979689719276,false,1.0
1.0,-0.10082306703102714,false,0.08416317414184576,0.07760099518231521,2.3490269832953787,6.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,1.3676072889279498e-5,0.10257005140402391,0.08396117467399564,0.08229999982911533,0.05079176932968973,0.06663297142358308,0.08229999982911533,0.06663297142358308,0.06663297142358308,0.06487125956264168,-1.860887673002827,-1.5667028405532246,-1.5667028405532246,-3.1508230499425602,-1.79,-1.71,-1.7100000000000004,-1.2899353769397333,0.29418483244960236,0.0,-1.5841202093893356,1.5841202093893356,-1.5841202093893356,0.0,-1.5841202093893356,-1.908991511135387,-0.4608247719843428,-0.4074824011279894,-0.015840901765967523,0.0,-0.39164149936202186,-0.39164149936202186,-0.3721429001067836,1.079463534310436,0.8957609240404452,1.1766494938228442,1.2383005878981237,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.7520524333133813,0.7047901180571223,0.7329735734182807,0.6276824286988814,0.6835586087147277,0.6835586087147277,0.6835586087147277,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.485282334453616,1.9074069729327465,2.629811556354284,2.629811556354284,2.629811556354284,0.16638155704555804,-0.10082306703102714,false,1.0
1.0,0.0002657917129063325,true,0.0745689797658049,0.06875267907358551,0.3162590864149015,7.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,1.0121856353940356e-5,0.10224201636531564,0.08436032266114483,0.0823000033733126,0.05180265791712906,0.06722245359428783,0.0823000033733126,0.06722245359428783,0.06722245359428783,0.0658205213014204,-1.788169370417081,-1.507754977902477,-1.507754977902477,-3.0497345456183536,-1.79,-1.71,-1.7100000000000004,-1.2615651752012726,0.28041439251460387,0.0,-1.5419795677158767,1.5419795677158767,-1.5419795677158767,2.220446049250313e-16,-1.5419795677158767,-1.853980135972444,-0.4608247719843428,-0.3905146919293382,-0.014597612837782225,0.0,-0.3759170790915558,-0.3759170790915558,-0.35802716044281774,1.1089641106807988,0.9223399791730109,1.2258681438416568,1.2871223831576972,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.9997655384312627,0.9449869623452376,0.9778522420684898,0.8549652782859912,0.9204770391269785,0.9204770391269785,0.9204770391269785,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.4511242729050706,1.8755078083448224,2.5951577320708026,2.5951577320708026,2.5951577320708026,0.12471545277111776,0.0002657917129063325,true,1.0
1.0,0.07863011275925716,false,0.07866679936722659,0.07253268676359965,1.0105760891970252,8.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,7.756506983789445e-6,0.10198239896487696,0.08466000913231038,0.08229999979729002,0.05258630112759257,0.06767572256701695,0.08229999979729002,0.06767572256701695,0.06767572256701695,0.06654958112087808,-1.7322389832566578,-1.4624277230273068,-1.4624277230273068,-2.9713698669697455,-1.79,-1.71,-1.7100000000000004,-1.2391308837130877,0.269811260229351,0.0,-1.5089421439424384,1.5089421439424384,-1.5089421439424384,-2.220446049250313e-16,-1.5089421439424384,-1.8110428011432311,-0.4608247719843428,-0.3776377734918771,-0.013686409992151437,0.0,-0.36395136349972584,-0.36395136349972584,-0.34725105878541895,1.1332442445621238,0.9442073919625492,1.2661713025418846,1.3270651314820203,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.8777864583430697,0.835149734364244,0.8608550202269769,0.7646929943857783,0.8161370205774563,0.8161370205774563,0.8161370205774563,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.4250804675512323,1.8511644155718943,2.5687204995115835,2.5687204995115835,2.5687204995115835,0.14166529029955835,0.07863011275925716,false,1.0
1.0,0.1411760088591521,false,0.08092230879315492,0.07461426656133542,2.28875861613287,9.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,6.10676582413838e-6,0.10177782354361682,0.08489809603571925,0.08229999969432723,0.05321176008859152,0.06803521671486477,0.08229999969432723,0.06803521671486477,0.06803521671486477,0.06713111264810503,-1.6879727507897568,-1.4264782979462458,-1.4264782979462458,-2.9088239605735713,-1.79,-1.71,-1.7100000000000004,-1.2208512097838145,0.261494452843511,0.0,-1.4823456626273255,1.4823456626273255,-1.4823456626273255,0.0,-1.4823456626273255,-1.7766983387614177,-0.4608247719843428,-0.3675281599616091,-0.0129915699584773,0.0,-0.3545365900031318,-0.3545365900031318,-0.33875064538383903,1.1535770927876414,0.9624593903724169,1.299794675579951,1.3603657388229662,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.8188742825994906,0.7831511153439676,0.8047715317418525,0.7238583176408023,0.767264738508784,0.767264738508784,0.767264738508784,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.404533035660443,1.831949430573659,2.547861397720007,2.547861397720007,2.547861397720007,0.15153775858040772,0.1411760088591521,false,1.0
1.0,0.1922584366792303,false,0.07426583225389241,0.06847318239586213,0.29843388434896995,10.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,4.9123340253966906e-6,0.10163025106584914,0.08510686211015343,0.08230000147429378,0.0537225843667923,0.06832736142011789,0.08230000147429378,0.06832736142011789,0.06832736142011789,0.06761783074166723,-1.6523388955695704,-1.3972640054175893,-1.3972640054175893,-2.857741710750148,-1.79,-1.71,-1.7100000000000004,-1.2054028151805776,0.25507489015198104,0.0,-1.4604777053325586,1.4604777053325586,-1.4604777053325586,0.0,-1.4604777053325586,-1.7489031368486256,-0.4608247719843428,-0.359381217473284,-0.012446510166995373,0.0,-0.3469347073062887,-0.3469347073062887,-0.3318717265048648,1.1708497800112763,0.9777556938237724,1.3282752122505492,1.3885629150682943,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,1.002991464192168,0.9632808932388077,0.9873823859096896,0.897122767541263,0.9456526587873213,0.9456526587873213,0.9456526587873213,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.387807829763168,1.8163133938317213,2.5309060713897553,2.5309060713897553,2.5309060713897553,0.1235116984118879,0.1922584366792303,false,1.0
1.0,0.2347781020882636,false,0.07461915504540433,0.06879896106766663,0.34474030510296166,11.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,4.0219742450437605e-6,0.1014991574571632,0.0852722028450933,0.0822999980062913,0.054147781020882635,0.068569495440532,0.0822999980062913,0.068569495440532,0.068569495440532,0.06801654073454103,-1.6226954612069897,-1.3730502565759306,-1.3730502565759306,-2.8152216985408667,-1.79,-1.71,-1.7100000000000004,-1.192526237333877,0.2496452046310591,0.0,-1.4421714419649359,1.4421714419649359,-1.4421714419649359,-2.220446049250313e-16,-1.4421714419649359,-1.7255662110552321,-0.4608247719843428,-0.35266985819997043,-0.012005169156686285,0.0,-0.3406646890432842,-0.3406646890432842,-0.3261898927574015,1.1857120105430405,0.9909790705476824,1.3527224476317572,1.4127500030391003,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.9903406162484629,0.9544473982501798,0.9762866151011613,0.8944674504915462,0.9385413985533685,0.9385413985533685,0.9385413985533685,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.374050264925629,1.8034435339894177,2.516946292535496,2.516946292535496,2.516946292535496,0.12491543676924315,0.2347781020882636,false,1.0
1.0,0.27072989738213954,false,0.07718035055896294,0.07116765459058197,1.0033809466911578,12.0,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,3.3419996454885155e-6,0.10136598043436093,0.08539199102553428,0.08230000154736312,0.054507298973821394,0.06877347797772727,0.08230000154736312,0.06877347797772727,0.06877347797772727,0.06833779438496734,-1.5973989408826648,-1.352652356963585,-1.352652356963585,-2.779270257354173,-1.79,-1.71,-1.7100000000000004,-1.1818713164715082,0.24474658391907966,0.0,-1.426617900390588,1.426617900390588,-1.426617900390588,0.0,-1.426617900390588,-1.7054196640566912,-0.4608247719843428,-0.3470421473367095,-0.011639272160120902,0.0,-0.3354028751765886,-0.3354028751765886,-0.32141707954792664,1.1986391026860284,1.0026857529790723,1.37394401208314,1.4337283277929511,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.9125846451193576,0.8820876793323047,0.9006903519254686,0.8310044889574598,0.8686011901952037,0.8686011901952037,0.8686011901952037,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.3626273910572464,1.792742799597991,2.505323898960255,2.505323898960255,2.505323898960255,0.13539977798714292,0.27072989738213954,false,1.0
