search_curvature,sep_health_sensitivity,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,mu_pre,kappa_common,mu_post
5.0,0.35,0.3857710798971757,-1.5544793519480085,-1.3399999999999994,-1.959544466338392,-3.05,-4.604479314459854,-1.7100000000000004,-2.644934848121462,0.10300999504936265,0.08341455038597873,0.08229999962511846,0.036255206480519914,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.08095171344737231,1.0023449692708442,0.07464755949815785
5.0,0.45,0.3857710798971757,-1.275237038753165,-1.3399999999999994,-1.959544466338392,-3.05,-4.3252370055784,-1.7100000000000004,-2.3656925392400083,0.10300999504936265,0.08341455038597873,0.08229999966825235,0.03904762961246835,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.08095171344737231,1.0023449692708442,0.07449332958678685
5.0,0.5,0.3857710798971757,-1.1794045413270406,-1.3399999999999994,-1.959544466338392,-3.05,-4.229404509949311,-1.7100000000000004,-2.269860043610919,0.10300999504936265,0.08341455038597873,0.0822999996862227,0.04000595458672959,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.08095171344737231,1.0023449692708442,0.07443966969463352
5.0,0.6,0.3857710798971757,-1.0369591882223492,-1.3399999999999994,-1.959544466338392,-3.05,-4.086959159763256,-1.7100000000000004,-2.127414693424864,0.10300999504936265,0.08341455038597873,0.08229999971540906,0.041430408117776506,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.08095171344737231,1.0023449692708442,0.07435949286890702
5.0,0.75,0.3857710798971757,-0.8957754694660681,-1.3399999999999994,-1.959544466338392,-3.05,-3.945775444140303,-1.7100000000000004,-1.986230977801911,0.10300999504936265,0.08341455038597873,0.08229999974674235,0.04284224530533932,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.08095171344737231,1.0023449692708442,0.07427969277392452
7.0,0.35,0.20186797021543837,-1.2190427129917456,-1.3399999999999994,-1.788169370417081,-3.05,-4.269043050323007,-1.7100000000000004,-2.480873679905926,0.10224201636531564,0.08436032266114483,0.08230000337331261,0.03960957287008254,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.0745689797658049,0.3162590864149015,0.0687526790736797
7.0,0.45,0.20186797021543723,-0.9516764932868356,-1.3399999999999994,-1.788169370417081,-3.05,-4.001676494116482,-1.7100000000000004,-2.213507123699401,0.10224201636531564,0.08436032266114483,0.08230000000829646,0.04228323506713164,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.0745689797658049,0.3162590864149015,0.06861876071373671
7.0,0.5,0.20186797021543723,-0.8599762373066491,-1.3399999999999994,-1.788169370417081,-3.05,-3.909976192504508,-1.7100000000000004,-2.121806822087427,0.10224201636531564,0.08436032266114483,0.08229999955197859,0.04320023762693351,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.0745689797658049,0.3162590864149015,0.06857216675833262
7.0,0.6,0.20186797021543856,-0.7237386819145639,-1.3399999999999994,-1.788169370417081,-3.05,-3.7737390484156697,-1.7100000000000004,-1.9855696779985887,0.10224201636531564,0.08436032266114483,0.08230000366501106,0.04456261318085436,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.0745689797658049,0.3162590864149015,0.06850254828198644
7.0,0.75,0.20186797021543829,-0.5887985038563442,-1.3399999999999994,-1.788169370417081,-3.05,-3.638798178413881,-1.7100000000000004,-1.8506288079968,0.10224201636531564,0.08436032266114483,0.08229999674557537,0.045912014961436556,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.0745689797658049,0.3162590864149015,0.06843325198641281
