label,match_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_post_equal_health,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,post_R_target_gap_pp,did_full_pp,target_full_did_pp,did_benefit_covid_env_pp,did_benefit_normal_pp,did_covid_only_pp,elasticity_full_logdid,target_full_elasticity_logdid,elasticity_benefit_normal_logdid,elasticity_benefit_covid_env_logdid,elasticity_covid_only_logdid,target_to_structural_elasticity_ratio
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.25,0.1,0.0866,0.0821,0.0312,0.06451874913954228,0.061779149108231846,0.8761869781637306,0.8761869781637306,0.09560887333015351,0.09115928807467455,0.08210000599617313,0.07555767699106115,4.4357676991061155,-0.20927437496330026,-3.75,-0.2609866850127062,-0.30040834857016113,0.05171231004940596,-0.051049119054360693,-1.1882751229801944,-0.04834391042163263,-0.04899135954659829,-0.0020468825411138858,24.254789701232166
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.28883817421806823,0.1,0.0866,0.0821,0.0312,0.0736130758264213,0.0704082897082656,1.630898990538714,1.630898990538714,0.09598151226108598,0.09080693742074736,0.08210000509565868,0.07450870355437099,4.330870355437099,-0.2416726700949094,-3.75,-0.3033036718937694,-0.3505023096945803,0.06163100179886,-0.060019327192488474,-1.1882751229801944,-0.056789230905084684,-0.05756415357466351,-0.002441833313551014,20.64262304211498
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.3337099635425086,0.1,0.0866,0.0821,0.0312,0.061964119423783576,0.05919063637126795,0.7126564929518364,0.7126564929518364,0.096408387875003,0.09038463806813929,0.08210000406054281,0.07328532812451584,4.208532812451584,-0.2790926129163264,-3.75,-0.35281909218337165,-0.4095850181629387,0.07372647926704523,-0.07077681558540125,-1.1882751229801944,-0.0669044784969336,-0.0678358484098579,-0.0029244881472724887,17.516919900533217
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.3855527063519852,0.1,0.0866,0.0821,0.0312,0.07555733119024345,0.07206544337570181,1.8161011753629532,1.8161011753629532,0.09691884868675779,0.08989700714478295,0.0821000049762738,0.0718559149052719,4.065591490527191,-0.32222485290270547,-3.75,-0.4109095686244785,-0.4796301170532828,0.088684715721773,-0.08377121008197519,-1.1882751229801944,-0.07910198607140975,-0.08022814890784062,-0.0035224910039323015,14.8111995497389
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.4454493590701697,0.1,0.0866,0.0821,0.0312,0.09235348234316718,0.08793384631269045,4.675738639630721,4.675738639630721,0.09749785369587494,0.08930163155035854,0.08210000451836505,0.07018308987883058,3.898308987883058,-0.37206924940180736,-3.75,-0.47919527054188,-0.5628328476119135,0.10712602114007269,-0.09957491006537073,-1.1882751229801944,-0.09391914596441629,-0.09528697132329643,-0.004262054145038415,12.470488950147548
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.514651118321746,0.1,0.0866,0.0821,0.0312,0.08292014496938474,0.078794515956445,2.7663404099516735,2.7663404099516735,0.09817281120076064,0.08858941769264203,0.08210000498424126,0.06822063010881883,3.7020630108818833,-0.4295981367303824,-3.75,-0.5597352276249055,-0.662253192876916,0.13013709089452308,-0.11898507576795418,-1.1882751229801944,-0.11209318881695726,-0.11376422572242811,-0.00518792616097932,10.445068433722318
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.5946035575013605,0.1,0.0866,0.0821,0.0312,0.08149094985880595,0.07725351073398738,2.5112250115449317,2.5112250115449317,0.09897762321479256,0.08774791356017148,0.08210000504010809,0.06591155468329844,3.4711554683298442,-0.49587407021885654,-3.75,-0.6551177049644936,-0.7819247706893578,0.15924363474563696,-0.14311333348707486,-1.1882751229801944,-0.1346518135387151,-0.13670779385608348,-0.006363087141427096,8.692080308392134
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.6869768237290446,0.1,0.0866,0.0821,0.0312,0.08071275441976923,0.07631339083743316,2.361850251966848,2.361850251966848,0.09988553351451748,0.08669861932216857,0.08210000482859321,0.06318706062164876,3.1987060621648764,-0.5726030014595498,-3.75,-0.7684671264019256,-0.9264598894300489,0.1958641249423759,-0.17348642371330386,-1.1882751229801944,-0.16304146885144374,-0.1655811493590176,-0.007849994554887439,7.176391319785706
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.7937005259840997,0.1,0.0866,0.0821,0.0312,0.06265242946696946,0.05882151698759654,0.6783086838956544,0.6783086838956544,0.09996426302374127,0.08661056738666265,0.0821000016588085,0.05990057579369494,2.8700575793694942,-0.8845730228034924,-3.75,-0.9080495168931714,-1.1223539614514573,0.02347649408967889,-0.24794301245930295,-1.1882751229801944,-0.20022676643044188,-0.203630656499366,-0.0442325378682767,5.835443166603424
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,0.9170040432046712,0.1,0.0866,0.0821,0.0312,0.06266314528562178,0.058365082321233,0.6450054629532577,0.6450054629532577,0.10000497612672957,0.08655270367072619,0.08210000034956197,0.05611738660060607,2.4917386600606073,-1.2530341292952534,-3.75,-1.0809812937849228,-1.374955844294853,-0.17205283551033043,-0.3405134069828013,-1.1882751229801944,-0.24957810734956937,-0.2541448244136111,-0.08639206262407045,4.675582616021806
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.0211971582756874,0.1,0.0866,0.0821,0.0312,0.06265657570345098,0.058091643712543294,0.6150598336668497,0.6150598336668497,0.09998001487038893,0.08658481714039543,0.082099999834475,0.05333203225904595,2.2132032259045955,-1.5372769845435537,-3.75,-1.2485377581229333,-1.6156165377829717,-0.28873922642062,-0.414854240421116,-1.1882751229801944,-0.2979516019884698,-0.30346694806906716,-0.11181201082084094,3.9156657110142703
