label,match_elasticity,delta,risk_aversion,common_search_cost_multiplier,r_health_premium,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_N_post,kappa_R_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,post_R_target_gap_pp,did_full_pp,target_full_did_pp,did_benefit_covid_env_pp,did_benefit_normal_pp,did_covid_only_pp,elasticity_full_logdid,target_full_elasticity_logdid,elasticity_benefit_normal_logdid,elasticity_benefit_covid_env_logdid,elasticity_covid_only_logdid,target_to_structural_elasticity_ratio,RHealthPremium
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,0.25,0.1,0.0866,0.0821,0.0312,0.06451874913954228,0.06177914661227335,0.8761869781637306,0.8761869781637306,0.8761869781637306,0.09560887333015351,0.09115928807467455,0.08209999414550434,0.07555766595048266,4.435766595048266,-0.20927429395427077,-3.75,-0.26098665031264867,-0.30040834857016113,0.0517123563583779,-0.05104912161787132,-1.1882751229801944,-0.04834391042163263,-0.048991360180693624,-0.002046884449370631,24.254789387302345,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,0.3425877461800309,0.1,0.0866,0.0821,0.0312,0.061982381079580144,0.05918872305141126,0.7122795334139281,0.7122795334139281,0.7122795334139281,0.0965176560768228,0.09032299358175808,0.08210000470842883,0.07304140538405142,4.184140538405142,-0.28639368293127093,-3.75,-0.3627272650884904,-0.4215679255390379,0.07633358215721947,-0.07296820237052655,-1.1882751229801944,-0.06895751069182134,-0.06992277991428388,-0.0030282296234207446,16.994105847005272,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,0.46946545533085315,0.1,0.0866,0.0821,0.0312,0.07604350692678714,0.07235616780640172,1.8461987165869311,1.8461987165869311,1.8461987165869311,0.09772273238480386,0.0890495124426257,0.08210000450071679,0.06950589030434147,3.830589030434147,-0.3920894254197162,-3.75,-0.5069281005288446,-0.5968613350574064,0.11483867510912849,-0.10616056595219293,-1.1882751229801944,-0.10009088346132232,-0.10156014185466446,-0.0045722379498805525,11.700211335669962,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,0.6433324490047159,0.1,0.0866,0.0821,0.0312,0.06322371894580119,0.05985342919391832,0.7437777166288764,0.7437777166288764,0.7437777166288764,0.09945020980425706,0.08719648166809225,0.08210000061302081,0.06448234375237887,3.3282343752378867,-0.5363928724477149,-3.75,-0.7144593695051518,-0.8572105340004401,0.17806649705743682,-0.15877355960099818,-1.1882751229801944,-0.14929325604324784,-0.15159807532682468,-0.0071265633766266455,7.838325918178289,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,0.8815912549960212,0.1,0.0866,0.0821,0.0312,0.06266886398788642,0.05848487712866307,0.6550478931038894,0.6550478931038894,0.6550478931038894,0.10002670739045846,0.08656723283870099,0.08209999480171795,0.057140048097107,2.5940048097107002,-1.1500472152853467,-3.75,-1.0288262436366746,-1.2992790851959184,-0.12122097164867252,-0.31438757417623636,-1.1882751229801944,-0.23461634848728602,-0.23885219967038335,-0.07546713484551142,4.974938998342981,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.0346915998560133,0.1,0.0866,0.0821,0.0312,0.06267932980015356,0.05806973419919211,0.6117280736284592,0.6117280736284592,0.6117280736284592,0.10006648492649281,0.08663568862061324,0.08210000020455425,0.05296091843488252,2.176091843488252,-1.570828546379217,-3.75,-1.2715375373707778,-1.649881941129715,-0.2992910090084399,-0.4245285832436347,-1.1882751229801944,-0.30478841720176136,-0.3104445751994909,-0.11455542968087384,3.827656264299712,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.0871694430894767,0.1,0.0866,0.0821,0.0312,0.0626481225596145,0.057958138822301136,0.5957871447146407,0.5957871447146407,0.5957871447146407,0.09994790230127808,0.0866182625475839,0.08210000441732468,0.05165386696430124,2.0453866964301244,-1.7116497699329263,-3.75,-1.3659634231095361,-1.7825910210127451,-0.3456863468233901,-0.46200088793670213,-1.1882751229801944,-0.33242304498109493,-0.3385048897911613,-0.12417518423515686,3.510363243831704,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.142308875564429,0.1,0.0866,0.0821,0.0312,0.06265829502402644,0.057880977937634207,0.5817218287734764,0.5817218287734764,0.5817218287734764,0.0999865471134979,0.08653595958234626,0.082099995872918,0.05019620887118444,1.8996208871184446,-1.8453199470581931,-3.75,-1.4688037077819582,-1.9286061552655207,-0.3765162392762352,-0.50136950676196,-1.1882751229801944,-0.36376768187787184,-0.3702898238977099,-0.131919916536012,3.209040719705134,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.200244888676361,0.1,0.0866,0.0821,0.0312,0.06265367592757864,0.05779974230600366,0.5641703158089664,0.5641703158089664,0.5641703158089664,0.09996899826472878,0.08663500293576946,0.08210000032003699,0.04875291542453964,1.7552915424539641,-2.0013089566538036,-3.75,-1.588669164821076,-2.0976910948806897,-0.4126397918327274,-0.5453629993770444,-1.1882751229801944,-0.39997720536137243,-0.40692993373968556,-0.13943142656777058,2.9200976002427437,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.2080894444044472,0.1,0.0866,0.0821,0.0312,0.06266771281420111,0.05779565220656049,0.5627583257784128,0.5627583257784128,0.5627583257784128,0.1000223326710214,0.08661802297741338,0.08210000049448929,0.04851433927898448,1.7314339278984479,-2.0181351521896804,-3.75,-1.6040545377203057,-2.120532021105872,-0.4140806144693745,-0.5513879986675294,-1.1882751229801944,-0.40509641791542444,-0.41211503905839286,-0.14028489575345252,2.883357825754636,1.0
