week,in_shock,find_AB,find_A0,find_NZ,sep_AB,sep_A0,sep_NZ,search_AB,search_A0,search_NZ,accept_AB,accept_A0,accept_NZ,flow_surplus_AB,flow_surplus_A0,flow_surplus_NZ,value_surplus_AB,value_surplus_A0,value_surplus_NZ,contact,theta
1,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
2,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
3,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
4,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
5,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
6,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
7,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
8,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
9,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
10,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
11,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
12,true,0.0475430607017422,0.07875940788656352,0.08222375717998791,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7645558278937428,0.924470727084014,0.9359486190466215,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4230632632049947,3.9651056755922696,4.195127298673128,0.12380880149862446,5.1657088869720855
