Sweep,MinRatio,MaxRatio,MeanRatio,Source,Range
benefit_multiplier,2.444863437642807,8.600774629728392,4.724673740654202,Assumption,6.1559111920855845
post_N_target,3.4729738982574427,4.451599429063833,3.975107806192848,Moment,0.9786255308063905
post_R_target,3.5352385202235594,4.486086436709519,3.9992854167538936,Moment,0.9508479164859591
pre_R_target,3.7267101559899602,4.306857961715536,3.99799796722158,Moment,0.5801478057255753
leisure_R_post_multiplier,3.569184390752247,4.071689829890561,3.8623040527973003,Assumption,0.5025054391383139
delta,3.886694689888947,4.328178700123532,4.100941653762078,Assumption,0.4414840102345847
common_search_cost_multiplier,3.9860362698143303,3.990064079131238,3.988021697942486,Assumption,0.0040278093169074936
match_elasticity,3.9854823140906794,3.9879256094408917,3.9865342402454496,Assumption,0.00244329535021226
leisure_N_post_multiplier,3.9879256094408917,3.9895063929581327,3.98830110000511,Assumption,0.0015807835172410023
