Weekly_Earnings,Count,CF
9,41806,38851.3674464934
15,16370,22154.7132097466
21,16042,16361.2256285904
27,19617,16710.994795454
33,22660,19921.5254316773
39,20636,23868.3470333084
45,24793,24793
51,36746,29651.3454315192
57,24085,30751.5996589481
63,33575,30758.5878125295
69,25625,29981.8441845148
75,38162,28792.2803802487
81,23764,27548.5956332877
87,26963,26547.0455510449
93,30305,25991.6303211164
99,46545,47308.1091377958
105,27462,26514.4817734846
111,29541,27498.2586414958
117,23997,28775.4798531722
123,38530,30150.6448267083
129,25055,31421.3531614931
135,25244,32409.1379135743
141,25661,32987.2065730525
147,21512,21864.691025293
153,51275,32786.6857639734
159,28579,32160.4806725411
165,25703,31416.1405935374
171,28530,30787.4015266439
177,32765,30496.5991991864
183,27623,30678.472801394
189,32052,31277.3646648318
