EE,EU,EN,UE,UU,UN,NE,NU,NN,date,age,sex,state,U_EST
0.9275432097327662,0.03332292267329525,0.039133867593938665,0.19206796059335818,0.6457694717256836,0.16216256768095844,0.07904615400764606,0.08556738978742164,0.8353864562049323,1992,15-24,Males,New South Wales,0.17521513404528807
0.9295065786366449,0.03243067888425683,0.03806274247909821,0.14541792573834952,0.6754825287972762,0.1790995454643742,0.07371006847765318,0.09689751590524087,0.829392415617106,1992,15-24,Males,Victoria,0.20914517804713897
0.9270778083470546,0.03917048036249012,0.03375171129045535,0.19140996554664216,0.6689622676954659,0.13962776675789193,0.1011555464231799,0.0998290481523376,0.7990154054244825,1992,15-24,Males,Queensland,0.18759820341470254
0.9378316186079518,0.03253888888044314,0.02962949251160499,0.13453869893620168,0.7348282042385422,0.13063309682525603,0.08010198439250227,0.08031581967484087,0.8395821959326568,1992,15-24,Males,South Australia,0.2052124507400304
0.92746736487232,0.04045861287910492,0.032074022248575106,0.17303685741059424,0.6955098566050244,0.1314532859843813,0.07892320562477355,0.09725098420034578,0.8238258101748807,1992,15-24,Males,Western Australia,0.21722758196756398
0.9321743203929023,0.03449971678853747,0.03332596281856024,0.15416022166220827,0.7401990351933633,0.10564074314442848,0.07402629724442646,0.08503487479532412,0.8409388279602494,1992,15-24,Males,Tasmania,0.22055889829992165
0.9790464873522787,0.012061244030890188,0.008892268616831041,0.15702623330783524,0.7542479406696796,0.08872582602248517,0.10955094048637538,0.11291620572562347,0.7775328537880012,1992,25-54,Males,New South Wales,0.078489217088137
0.9791925173441696,0.012402929402791286,0.008404553253039107,0.14283743311790292,0.7822027366918689,0.07495983019022809,0.10293098503628002,0.09855915658788152,0.7985098583758384,1992,25-54,Males,Victoria,0.0862001598676291
0.9768440647910404,0.014632951312343519,0.008522983896616144,0.19984355130858075,0.7255999045246609,0.0745565441667583,0.10257451971749762,0.08011325184800658,0.8173122284344958,1992,25-54,Males,Queensland,0.07242210003532099
0.9802548837096183,0.012081858953255089,0.007663257337126549,0.13220306585743408,0.792671195100573,0.07512573904199295,0.08960427808147357,0.08071311837420224,0.8296826035443242,1992,25-54,Males,South Australia,0.08647324584213921
0.9748975360559752,0.01638675087440166,0.008715713069623196,0.1990397639140135,0.742790410642429,0.058169825443557345,0.10739147228175563,0.09327593197692877,0.7993325957413157,1992,25-54,Males,Western Australia,0.08411015189272761
0.9665863223645459,0.010931919595695217,0.02248175803975886,0.08738561409263845,0.7920235101422425,0.12059087576511915,0.03359060956005111,0.023749895730116342,0.9426594947098326,1992,55-64,Males,Queensland,0.11651381735399499
0.9314632125468462,0.02308786059123598,0.04544892686191776,0.1750986319710055,0.6276063963466206,0.19729497168237387,0.07558145644377824,0.06494443059957637,0.8594741129566453,1992,15-24,Females,New South Wales,0.14013752688849276
0.9335901159144763,0.02868540942313225,0.03772447466239132,0.15443282912561365,0.64145876176169625,0.20410840911269001,0.0713433225421614,0.08082560387915634,0.8478310735786823,1992,15-24,Females,Victoria,0.17179335331946938
0.9348893524740547,0.026338730082747557,0.038771917443197634,0.1787973997875577,0.6221231492082815,0.1990794510041608,0.07649948465732039,0.08328729712351811,0.8402132182191615,1992,15-24,Females,Queensland,0.15165839063303338
0.9368094366235383,0.02313366237211221,0.040056901004349464,0.15803204074655489,0.643521667298353,0.19844629195509217,0.06748075616180274,0.07757632539015863,0.8549429184480386,1992,15-24,Females,South Australia,0.15770166300415933
0.9411325789688983,0.026803659130479076,0.03206376190062258,0.17737198047347713,0.6567667041516881,0.1658613153748346,0.06144905635646451,0.07725071341894625,0.8613002302245892,1992,15-24,Females,Western Australia,0.15917293411081576
0.9386087347946923,0.018916344918346727,0.042474920286960975,0.12125423361771868,0.6711477596467137,0.20759800673556753,0.06656112073065873,0.0970167218516901,0.8364221574176511,1992,15-24,Females,Tasmania,0.18484860992523905
0.950560246638006,0.010752059624746573,0.038687693737247335,0.16184309768934685,0.57146832681109,0.26668857549956326,0.06812786540410054,0.038284117583893315,0.8935880170120062,1992,25-54,Females,New South Wales,0.06981251452872313
