EE,EU,EN,UE,UU,UN,NE,NU,NN,year,age,sex,state
1,0.10964928701000731,0.3207872091840759,0.9038985398207936,0.9999805164898419,0.9550121874934723,0.5436768740357937,0.4021157872439849,0.9999999999981628,1997,25-54,Females,Victoria
0.9999999999999999,0.11028801699632551,0.35066936540838056,0.891592281321693,0.9999865986101352,0.952056464540609,0.596965479688785,0.3858700859689912,0.9999999999957864,1997,25-54,Females,Queensland
1,0.09841743240651302,0.2971233143551971,0.8657346376957042,0.9999966962122876,0.9272889868118583,0.5303785430526287,0.38356810928648255,0.9999999999989349,1997,25-54,Females,South Australia
0.9999999999999999,0.0902601984370699,0.3633609668897073,0.9366803562316331,0.9998939349287396,0.9735455124725972,0.6178578255965113,0.354250039752539,0.9999999999957573,1997,25-54,Females,Western Australia
0.9999939136975129,0.0471030189691275,0.14244438523392944,0.5627099471789265,0.9775458279261373,0.5910588244961943,0.23600204715531048,0.12129604815459427,0.99991190908336125,1997,25-54,Females,Tasmania
0.9999999998273987,0.07563492041599973,0.18706651464251312,0.6197850711044489,0.9997970619108555,0.7241120763848228,0.23992644511052552,0.12308770024983406,0.9999999980485462,1997,55-64,Males,Queensland
0.9999999891863864,0.15960490545099904,0.2932494068064664,0.6514473157629624,0.9991431696266208,0.832037523913824,0.41940371806908605,0.4805807185151989,0.9999968108212511,1997,15-24,Females,Tasmania
0.9999999984696485,0.038158162861317346,0.15406968891909956,0.722035563161702,0.9948666033554234,0.7804048388965179,0.4014016350900881,0.23875908421224112,0.999995922609639,1997,25-54,Females,Australian Capital Territory
0.9999999064565135,0.02907747383150605,0.03997087935581578,0.568539408704317,0.9934382015606946,0.3304284177035376,0.40390744992194483,0.26930019827535145,0.9985040504066853,1997,25-54,Males,Australian Capital Territory
0.9355856869085858,0.02936975069008574,0.03504456240132858,0.13799863519385458,0.7056322360081754,0.15636912879796994,0.07417633521359213,0.08420429165194754,0.8416193731344603,1997,15-24,Males,Tasmania
0.9999999999999899,0.2473518516080464,0.42292436626356067,0.9270708699058771,0.9999681665313426,0.9541900049797664,0.7350232265665528,0.651833508638151,0.9999999979344156,1998,15-24,Males,New South Wales
0.9999999999999855,0.25057616385202297,0.4357113789522046,0.909817802091131,0.9999657701842295,0.9648362351311065,0.722685933317458,0.7370728753958556,0.999999993914385,1998,15-24,Males,Victoria
0.9999999999999941,0.29582485908887757,0.35926873289093775,0.9476181123920692,0.9999854813084548,0.9045716764218422,0.7240490781346962,0.7006361307281274,0.9999999965317774,1998,15-24,Males,Queensland
0.9999999999999968,0.29722347320323905,0.3323447095627292,0.9027361338231819,0.999997803429936,0.878997597192112,0.6088219565047925,0.6262216440225652,0.9999999998250858,1998,15-24,Males,South Australia
