"year","male","X_b_agedum2","X_b_agedum3","X_b_agedum4","X_b_agedum5","X_b_agedum6","X_b_agedum7","X_b_agedum8","X_b_agedum9","X_b_agedum10","X_b_agedum11","X_b_agedum12","X_b_agedum13","X_b_agedum14","X_b_agedum15","X_b_agedum16","X_b_agedum17","X_b_agedum18","X_b_agedum19","X_b_agedum20","X_b_agedum21","X_b_agedum22","X_b_agedum23","X_b_agedum24","X_b_agedum25","X_b_agedum26","X_b_agedum27","X_b_agedum28","X_b_agedum29","X_b_agedum30","X_b_agedum31","X_b_cons"
2009,0,0.0706047,0.1142235,0.1524807,0.1797803,0.1948858,0.1995912,0.2004836,0.2038059,0.1946603,0.1919693,0.1831744,0.1742941,0.1728346,0.1751985,0.1765451,0.1793243,0.1892272,0.1933708,0.2053072,0.2135432,0.229179,0.2317047,0.2431312,0.2504807,0.2585787,0.2606507,0.258021,0.2617974,0.2506973,0.2387576,10.39664
2010,1,0.08089,0.1558185,0.2237112,0.2844766,0.3444625,0.3899181,0.4348749,0.4823192,0.5220244,0.5489272,0.5710497,0.5914479,0.6069909,0.6236309,0.6323216,0.6334679,0.6430392,0.6378842,0.6474574,0.6468736,0.6433755,0.6481441,0.6438396,0.6490172,0.643759,0.635828,0.6229646,0.6246502,0.6119223,0.593511,10.49331
2010,0,0.068385,0.1229983,0.1590662,0.1891527,0.2032492,0.2164886,0.2161682,0.2110028,0.2223322,0.2108051,0.2073042,0.202412,0.2033459,0.2032958,0.2078027,0.2112944,0.217143,0.2273192,0.2343071,0.2441486,0.2542949,0.2665319,0.2659605,0.279294,0.285996,0.2847233,0.2912981,0.2863462,0.2874999,0.2757039,10.38031
2011,1,0.0800047,0.1599196,0.2301828,0.2895255,0.3396856,0.3911839,0.4331472,0.4782708,0.5220869,0.5525607,0.5721475,0.5922841,0.6075403,0.6235783,0.6363081,0.6424742,0.644396,0.6489965,0.6456828,0.6506527,0.651561,0.646584,0.6517336,0.6457878,0.6492008,0.6410508,0.6334978,0.6194147,0.6136006,0.6045773,10.51629
2011,0,0.0798364,0.1355947,0.1784747,0.1977985,0.2161227,0.2291116,0.2334416,0.2327605,0.2311744,0.2351389,0.2282466,0.2256311,0.2207812,0.2301505,0.230198,0.235599,0.2423314,0.2459445,0.2556311,0.2628572,0.2706012,0.2812123,0.2919153,0.2897859,0.2996701,0.2985514,0.3018415,0.3023185,0.2930591,0.2878481,10.38369
2012,1,0.0908788,0.1659993,0.2386421,0.296971,0.3494774,0.394894,0.4420765,0.487149,0.523642,0.557207,0.5785463,0.6003438,0.6180674,0.6306654,0.6431198,0.6511092,0.6560647,0.6584893,0.6636571,0.656927,0.6648517,0.6655077,0.6591563,0.6597283,0.6514133,0.6510944,0.6453228,0.6369022,0.6228012,0.6127729,10.52892
2012,0,0.0739889,0.1345304,0.1783233,0.2091882,0.2228242,0.2352281,0.2459013,0.2477251,0.2524174,0.2443566,0.248452,0.2454515,0.2403679,0.2447045,0.2518369,0.2553731,0.2585683,0.2691223,0.2743368,0.2817601,0.2909459,0.2964133,0.3009023,0.3075024,0.3071929,0.3082458,0.3111053,0.3093694,0.3086525,0.2981054,10.38748
2013,1,0.0890153,0.1739356,0.2432146,0.30936,0.3636321,0.4073921,0.4505579,0.5029796,0.5431026,0.5672909,0.5936026,0.6160846,0.632355,0.6461027,0.656898,0.6673683,0.6776962,0.6815122,0.6792682,0.6835813,0.678946,0.6812258,0.6778132,0.67097,0.6736631,0.6613534,0.662542,0.6583468,0.6464356,0.6305968,10.52241
2013,0,0.0737413,0.1330588,0.1827757,0.2147264,0.2351855,0.2430543,0.254959,0.2675346,0.2706279,0.2690176,0.2659995,0.2697957,0.2720423,0.2715511,0.2808954,0.2851946,0.2924647,0.294865,0.2998102,0.3087716,0.3131838,0.3199928,0.3232687,0.3270704,0.3338875,0.3285811,0.3290426,0.3325599,0.3280976,0.3241586,10.37697
2014,1,0.0938668,0.1735776,0.256339,0.3193125,0.3754966,0.4257004,0.4703075,0.5158134,0.5648061,0.5922287,0.6174496,0.6371039,0.6594421,0.6710321,0.6838859,0.6920256,0.7030765,0.7064295,0.7112051,0.7107155,0.7108356,0.7042046,0.7072861,0.7041436,0.6945797,0.6926596,0.6823874,0.6811825,0.6720461,0.6627541,10.49178
