group,bin,N
Displaced,"(50,55]",299
Displaced,"(45,50]",995
Displaced,"(35,40]",823
Displaced,"(25,30]",470
Displaced,"(40,45]",898
Displaced,"(30,35]",662
Displaced,"(20,25]",308
Non-displaced,"(35,40]",166720
Non-displaced,"(40,45]",184683
Non-displaced,"(45,50]",211974
Non-displaced,"(50,55]",73561
Non-displaced,"(30,35]",118927
Non-displaced,"(25,30]",71359
Non-displaced,"(20,25]",22471
