group,bin,N
Displaced,"(30,35]",1049
Displaced,"(50,55]",618
Displaced,"(20,25]",533
Displaced,"(35,40]",1288
Displaced,"(45,50]",1649
Displaced,"(25,30]",792
Displaced,"(40,45]",1366
Non-displaced,"(35,40]",196209
Non-displaced,"(40,45]",220237
Non-displaced,"(45,50]",275721
Non-displaced,"(50,55]",114787
Non-displaced,"(30,35]",141207
Non-displaced,"(25,30]",87178
Non-displaced,"(20,25]",29599
