t,estimate,conf.low,conf.high
-7,999.6977184460161,-99.18986533470775,2098.58530222674
-6,1229.8977114452862,177.97359755940533,2281.821825331167
-5,1288.4089686968232,259.4846170869321,2317.333320306714
-4,1041.4651360037476,-2.434623409007145,2085.3648954165023
-3,1420.8051179098259,395.24024737336526,2446.3699884462867
-2,766.3234157272874,-286.24744003552803,1818.8942714901027
0,-13888.45378320264,-15036.915731814806,-12739.991834590473
1,-7371.005010299274,-8367.100852173697,-6374.909168424851
2,-3828.5892581317403,-4810.186407457839,-2846.9921088056417
3,-1949.482819089717,-2952.363958893018,-946.6016792864156
4,-692.8561360645555,-1722.8500139994057,337.1377418702947
5,-617.0524183239758,-1669.8339065475075,435.72906989955584
6,-677.4568717455113,-1725.413603004799,370.4998595137763
7,-623.6771109550938,-1705.0382179308654,457.6839960206777
8,-16.6897289144341,-1094.4230887886015,1061.0436309597335
9,6.579102252163216,-1106.27168627734,1119.4298907816665
10,2201.06692041759,839.4694217501687,3562.6644190850116
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
