term,estimate,std_error,t_stat
ar1,0.31032311338159,0.122483029567045,2.53360089539363
ar2,-0.812520367679284,0.134344772350261,-6.04802370397338
ma1,0.00721970768424635,0.135392989590608,0.0533240879463319
ma2,0.999965697612929,0.0943408520960617,10.5994982597223
d_tot,0.0107324881768346,0.00507146292663452,2.11625093825871
d_rp_g,0.0150841628719254,0.00399119324463527,3.77936169645522
d_unemp,0.00806703704164507,0.00147415221281066,5.47232298777628
