feature,historical_min,historical_max,projection_min,projection_max,projection_below_history,projection_above_history
d_0_14,-0.00501329248761667,9.29476832460807e-05,-0.00199475315275563,-0.000121759916372366,FALSE,FALSE
d_15_34,-0.00469760894899124,0.00627440091441861,-0.0018801789827767,-0.000131412675623915,FALSE,FALSE
d_55_64,-0.00219154365286987,0.00399776973833486,-0.00081990123589798,0.00157306973319758,FALSE,FALSE
d_65p,0.000619534245837217,0.00314775162550285,0.000472225440592333,0.00406536072696742,TRUE,TRUE
d_tot,-0.503196396384736,0.930981888679116,-0.544409195995604,0,TRUE,FALSE
d_rp_g,-0.721767039445902,0.682273704324144,-0.200445371764933,0,FALSE,FALSE
d_unemp,-1.60929195833333,2.80017493333333,0,0.407530658333334,FALSE,FALSE
