term,estimate,std_error,t_stat
ar1,1.28216668398774,0.112419777742331,11.4051700664851
ar2,-0.696848053057818,0.111651130121568,-6.24129869799863
ma1,-1.98882785990862,0.0919714766749821,-21.6243984745067
ma2,0.999972062825982,0.0915604097929689,10.9214459075386
intercept,-0.00534433341180568,0.00405796391640821,-1.31699875156506
d_0_14,-1.69033095758058,0.539821107174621,-3.13127985385313
d_15_34,0.226897895624655,0.285002363992955,0.796126363465056
d_55_64,0.311460341135892,0.423218185836594,0.735933264588369
d_65p,1.18154527255669,1.56439099819627,0.755274911399388
d_tot,0.00553399543416431,0.00428024497590257,1.29291558434628
d_rp_g,0.0141635777542585,0.00344259947539416,4.11421016458408
d_unemp,0.00572944052486009,0.00143709349059547,3.98682518733422
