index,residual
1,0.00156863271937944
2,-0.00641152120186768
3,0.00690637235331329
4,0.00256770092422253
5,0.0087460614772072
6,0.00170692175673336
7,0.000468206195559926
8,-0.0120513025728079
9,0.00225056275827429
10,-0.00301617219748751
11,-0.00851448307215258
12,-0.00331356422301149
13,-0.00124523817537641
14,0.00479063340491603
15,0.0136533770367089
16,-0.00424026112270051
17,-0.00620682675218049
18,0.00206727346320946
19,0.00369419677481755
20,-0.00081764551833215
21,0.00586073777091119
22,-0.00207039048109895
23,0.00101228925350234
24,0.00293597927343364
25,-0.00638486996371388
26,0.00116483748460031
27,0.00131880009018032
28,-0.00225946499318123
29,0.00746109245975498
30,-0.0109331302340845
31,-0.00612847320574632
32,-0.00050231940308329
33,-0.0109963248523932
34,-0.00567665201558576
35,-0.00180091433050418
36,0.0072001134260867
37,-0.00272246845386578
38,-0.00363149322553949
39,0.00489471579665616
40,-0.0130107404179254
41,0.00620567343504683
42,0.00085931486960844
