lag,acf
0,1
1,-0.0420053469655312
2,-0.0709227754041424
3,-0.0935721352680542
4,-0.046925445762957
5,0.134964629415206
6,-0.102590369589359
7,-0.32528472557233
8,-0.0948880582503991
9,0.0396205514910295
10,0.152346940073794
11,-0.144001535037519
12,0.0828446750697125
13,0.0468170150921018
14,0.157845814627861
15,0.0505392397394293
16,-0.0961989270873688
