feature,d_0_14,d_15_34,d_55_64,d_65p,d_tot,d_rp_g,d_unemp
d_0_14,1,-0.253948088771298,0.179166917809828,0.374896140646396,0.0213434756026591,0.204710422782066,0.0868827709777534
d_15_34,-0.253948088771298,1,-0.27515570631451,0.15100735096716,-0.0630301794552929,-0.0492722721431494,-0.0786450182941116
d_55_64,0.179166917809828,-0.27515570631451,1,-0.38598677530506,0.267809126957939,0.0473784468255751,-0.106520369009667
d_65p,0.374896140646396,0.15100735096716,-0.38598677530506,1,-0.249358233189301,0.224976956163295,0.161511700422139
d_tot,0.0213434756026591,-0.0630301794552929,0.267809126957939,-0.249358233189301,1,-0.686717637539579,-0.271928228947245
d_rp_g,0.204710422782066,-0.0492722721431494,0.0473784468255751,0.224976956163295,-0.686717637539579,1,0.323055801533835
d_unemp,0.0868827709777534,-0.0786450182941116,-0.106520369009667,0.161511700422139,-0.271928228947245,0.323055801533835,1
