index,residual
1,0.00156187454854974
2,-0.00500203035040535
3,0.00756512605568764
4,0.00215646312825591
5,0.00785468378676
6,0.00315865234772469
7,0.00518915388694961
8,-0.00503041929255036
9,0.00297536194460281
10,6.34674705702409e-05
11,-0.00167626709024478
12,-0.00360040342116189
13,-0.00822622483976013
14,-0.00313193843503797
15,0.00827216432880467
16,0.00167174036477466
17,-0.00285087066915031
18,-0.00340319828180644
19,0.00104427805472441
20,0.00348194010258203
21,0.00702400734752176
22,-0.00295854035858036
23,-0.00275080613425753
24,0.00252883044877362
25,-0.00273125207688859
26,-0.00216564767312194
27,-0.00512666328360623
28,-0.00393838047833532
29,0.0117260724131496
30,-0.000641920290664638
31,0.000991022621895519
32,0.00432559432400222
33,-0.00156484364110456
34,0.00148114430308727
35,-0.00395870913284821
36,-0.00104568576737543
37,-0.00079253615982
38,-0.0008986387897161
39,0.00271403189023769
40,-0.0101437476297458
41,0.00403522744599072
42,0.00457939551625594
