time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
1,303285,0,0,1,1,0,0
2,303285,0,0,1,1,0,0
3,303285,0,0,1,1,0,0
4,303285,0,0,1,1,0,0
5,303285,0,0,1,1,0,0
6,303285,0,0,1,1,0,0
7,303285,0,0,1,1,0,0
8,303285,0,0,1,1,0,0
9,303285,0,0,1,1,0,0
10,303285,0,0,1,1,0,0
11,303285,0,0,1,1,0,0
12,303285,0,0,1,1,0,0
13,303285,0,0,1,1,0,0
14,303285,0,0,1,1,0,0
15,303285,0,0,1,1,0,0
16,303285,0,0,1,1,0,0
17,303285,0,0,1,1,0,0
18,303285,0,0,1,1,0,0
19,303285,0,0,1,1,0,0
20,303285,0,0,1,1,0,0
21,303285,0,0,1,1,0,0
22,303285,0,0,1,1,0,0
23,303285,0,0,1,1,0,0
24,303285,0,0,1,1,0,0
25,303285,0,0,1,1,0,0
26,303285,0,0,1,1,0,0
27,303285,0,0,1,1,0,0
28,303285,0,0,1,1,0,0
29,303285,0,0,1,1,0,0
30,303285,0,0,1,1,0,0
31,303285,0,0,1,1,0,0
32,303285,0,0,1,1,0,0
33,303285,0,0,1,1,0,0
34,303285,0,0,1,1,0,0
35,303285,36170,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
36,267115,0,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
37,267115,0,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
38,267115,0,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
39,267115,0,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
40,267115,0,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
41,267115,0,0,0.880881057992318,0.87454610236333,0.000588738656761025,0.00153866255654999
42,267115,30299,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
43,236816,0,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
44,236816,0,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
45,236816,0,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
46,236816,0,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
47,236816,0,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
48,236816,0,0,0.781081482207033,0.770176159782842,0.00075253127696419,0.00254159360082886
49,236816,15434,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
50,221382,0,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
51,221382,0,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
52,221382,0,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
53,221382,0,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
54,221382,0,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
55,221382,0,0,0.730238335103705,0.717290179093393,0.000808238203704787,0.00298532209021249
56,221382,16125,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
57,205257,0,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
58,205257,0,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
59,205257,0,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
60,205257,0,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
61,205257,0,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
62,205257,0,0,0.677114019640264,0.662255189466583,0.000852045936661493,0.00339688166351802
63,205257,17965,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
64,187292,0,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
65,187292,0,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
66,187292,0,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
67,187292,0,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
68,187292,0,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
69,187292,0,0,0.617921385129988,0.601223541179195,0.00088606834035154,0.00378841622244619
70,187292,6382,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
71,180910,0,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
72,180910,0,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
73,180910,0,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
74,180910,0,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
75,180910,0,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
76,180910,0,0,0.596891636446194,0.579618850594316,0.000894731316074356,0.00390947893779616
