time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
1,262970,0,0,1,1,0,0
2,262970,0,0,1,1,0,0
3,262970,0,0,1,1,0,0
4,262970,0,0,1,1,0,0
5,262970,0,0,1,1,0,0
6,262970,0,0,1,1,0,0
7,262970,0,0,1,1,0,0
8,262970,0,0,1,1,0,0
9,262970,0,0,1,1,0,0
10,262970,0,0,1,1,0,0
11,262970,0,0,1,1,0,0
12,262970,0,0,1,1,0,0
13,262970,0,0,1,1,0,0
14,262970,0,0,1,1,0,0
15,262970,0,0,1,1,0,0
16,262970,0,0,1,1,0,0
17,262970,0,0,1,1,0,0
18,262970,0,0,1,1,0,0
19,262970,0,0,1,1,0,0
20,262970,0,0,1,1,0,0
21,262970,0,0,1,1,0,0
22,262970,0,0,1,1,0,0
23,262970,0,0,1,1,0,0
24,262970,0,0,1,1,0,0
25,262970,0,0,1,1,0,0
26,262970,0,0,1,1,0,0
27,262970,0,0,1,1,0,0
28,262970,0,0,1,1,0,0
29,262970,0,0,1,1,0,0
30,262970,0,0,1,1,0,0
31,262970,0,0,1,1,0,0
32,262970,0,0,1,1,0,0
33,262970,0,0,1,1,0,0
34,262970,0,0,1,1,0,0
35,262970,21680,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
36,241290,0,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
37,241290,0,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
38,241290,0,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
39,241290,0,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
40,241290,0,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
41,241290,0,0,0.917859665661897,0.903970261865703,0.000535125076049246,0.00134028860146426
42,241290,21884,0,0.834914405057484,0.808540849929726,0.000724500530891789,0.00238465656828353
43,219406,0,0,0.834914405057484,0.808540849929726,0.000724500530891789,0.00238465656828353
44,219406,0,0,0.834914405057484,0.808540849929726,0.000724500530891789,0.00238465656828353
45,219406,0,0,0.834914405057484,0.808540849929726,0.000724500530891789,0.00238465656828353
46,219406,0,0,0.834914405057484,0.808540849929726,0.000724500530891789,0.00238465656828353
47,219406,0,0,0.834914405057484,0.808540849929726,0.000724500530891789,0.00238465656828353
