time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
1,198902,0,0,1,1,0,0
2,198902,0,0,1,1,0,0
3,198902,0,0,1,1,0,0
4,198902,0,0,1,1,0,0
5,198902,0,0,1,1,0,0
6,198902,0,0,1,1,0,0
7,198902,0,0,1,1,0,0
8,198902,0,0,1,1,0,0
9,198902,0,0,1,1,0,0
10,198902,0,0,1,1,0,0
11,198902,0,0,1,1,0,0
12,198902,0,0,1,1,0,0
13,198902,0,0,1,1,0,0
14,198902,0,0,1,1,0,0
15,198902,0,0,1,1,0,0
16,198902,0,0,1,1,0,0
17,198902,0,0,1,1,0,0
18,198902,0,0,1,1,0,0
19,198902,0,0,1,1,0,0
20,198902,0,0,1,1,0,0
21,198902,0,0,1,1,0,0
22,198902,0,0,1,1,0,0
23,198902,0,0,1,1,0,0
24,198902,0,0,1,1,0,0
25,198902,0,0,1,1,0,0
26,198902,0,0,1,1,0,0
27,198902,0,0,1,1,0,0
28,198902,0,0,1,1,0,0
29,198902,0,0,1,1,0,0
30,198902,0,0,1,1,0,0
31,198902,0,0,1,1,0,0
32,198902,0,0,1,1,0,0
33,198902,0,0,1,1,0,0
34,198902,0,0,1,1,0,0
35,198902,13998,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
36,184904,0,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
37,184904,0,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
38,184904,0,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
39,184904,0,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
40,184904,0,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
41,184904,0,0,0.929884983076911,0.919054533625856,0.000572126690986204,0.0012827543884783
42,184904,17584,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
43,167320,0,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
44,167320,0,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
45,167320,0,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
46,167320,0,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
47,167320,0,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
48,167320,0,0,0.84177426458994,0.818728965248156,0.0008189610704736,0.00250366305805117
49,167320,7759,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
50,159561,0,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
51,159561,0,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
52,159561,0,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
53,159561,0,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
54,159561,0,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
55,159561,0,0,0.802881811470344,0.774970642103893,0.000893297805447091,0.00298059071196021
56,159561,12052,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
57,147509,0,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
58,147509,0,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
59,147509,0,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
60,147509,0,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
61,147509,0,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
62,147509,0,0,0.742454246104618,0.707663491820349,0.000982865895399894,0.00364407405086897
