date,real_gdp,public_demand,trimmed_mean_qoq,trimmed_mean_yoy,cash_rate,output_gap,public_demand_gap,inflation_gap,real_rate_gap
1990-09-30,252550.0,60042.3,1.3,6.5,14.0,2.738361713229409,-0.27159375169247824,2.7,5.570864197530864
1990-12-31,253941.0,60031.9,1.8,6.6,13.003333333333332,2.5596455867477275,-0.7490054580047811,4.7,4.474197530864196
1991-03-31,250758.0,61361.0,0.8,5.7,12.0,0.5685846232292846,0.9809118624145796,0.7000000000000002,4.370864197530864
1991-06-30,250219.0,61934.2,1.1,5.0,11.01,-0.3813160979571961,1.4516078417127432,1.9000000000000004,4.080864197530864
1991-09-30,251377.0,63883.6,1.1,4.8,10.183333333333334,-0.6629995571547198,4.092343176576563,1.9000000000000004,3.4541975308641977
1991-12-31,251541.0,62697.9,0.7,3.7,8.88,-1.3533082726835843,1.7605415421918735,0.2999999999999998,3.2508641975308645
1992-03-31,253547.0,60263.7,0.4,3.3,7.5633333333333335,-1.3296467345403684,-2.6610801490598135,-0.8999999999999999,2.3341975308641976
1992-06-30,255366.0,61185.2,0.6,2.8,6.88,-1.4027460742838116,-1.6133905701646967,-0.10000000000000009,2.150864197530864
1992-09-30,257852.0,62897.8,0.5,2.2,5.803333333333334,-1.2405455006886612,0.6664368816155175,-0.5,1.6741975308641974
1992-12-31,263251.0,64961.1,0.5,2.0,5.75,0.005978569438447323,3.400645906087618,-0.5,1.820864197530864
1993-03-31,265081.0,62481.3,0.5,2.2,5.7,-0.14574776803044642,-1.000083481926417,-0.5,1.570864197530864
1993-06-30,266583.0,63818.9,0.6,2.2,5.25,-0.4436739771866982,0.5900527804470812,-0.10000000000000009,1.1208641975308637
1993-09-30,266905.0,61635.8,0.5,2.3,4.91,-1.2039737375658888,-3.441928831110097,-0.5,0.6808641975308642
1993-12-31,271805.0,62801.7,0.6,2.3,4.75,-0.28316666085022035,-2.14674556299439,-0.10000000000000009,0.5208641975308641
1994-03-31,276336.0,63764.3,0.5,2.3,4.75,0.45573477791513994,-1.2337738220951522,-0.5,0.5208641975308641
1994-06-30,279611.0,63946.0,0.6,2.3,4.75,0.7052100885621471,-1.5874634704433177,-0.10000000000000009,0.5208641975308641
1994-09-30,281720.0,65676.0,0.6,2.3,5.12,0.5149103076695027,0.4137854054697243,-0.10000000000000009,0.8908641975308642
1994-12-31,284892.0,66389.0,0.5,2.2,6.446666666666666,0.6806878765551971,0.7964897094639767,-0.5,2.31753086419753
1995-03-31,284634.0,65716.9,0.5,2.2,7.5,-0.37536358592458186,-0.9461385393830568,-0.5,3.3708641975308637
1995-06-30,285994.0,65741.7,0.9,2.5,7.5,-0.8755866595773654,-1.6611902861001226,1.1,3.070864197530864
1995-09-30,292541.0,68299.9,1.0,2.9,7.5,0.39985004292528714,1.3767716651642559,1.5,2.6708641975308636
1995-12-31,292613.0,66957.8,0.7,3.2,7.5,-0.5736569991414697,-1.4120956824509534,0.2999999999999998,2.3708641975308637
1996-03-31,297071.0,67794.8,0.6,3.2,7.5,-0.06923272153649407,-0.9977515528587944,-0.10000000000000009,2.3708641975308637
1996-06-30,298977.0,69395.3,0.7,3.0,7.5,-0.44574362306555315,0.4860071208385719,0.2999999999999998,2.570864197530864
1996-09-30,301413.0,66993.4,0.5,2.6,7.16,-0.6577136222581714,-3.905139376283806,-0.5,2.6308641975308644
1996-12-31,304194.0,68296.1,0.5,2.4,6.583333333333333,-0.7687762868968662,-2.864647141399601,-0.5,2.2541975308641975
1997-03-31,306359.0,71249.4,0.7,2.5,6.0,-1.0933465366324668,0.47139975693362146,0.2999999999999998,1.570864197530864
1997-06-30,315516.0,72496.7,0.3,2.1,5.786666666666666,0.8160250873441299,1.3041224988093347,-1.3,1.75753086419753
1997-09-30,316000.0,73403.6,0.2,1.8,5.153333333333333,-0.0656152287630718,1.6454122554783623,-1.7,1.4241975308641974
1997-12-31,320517.0,74589.5,0.7,2.0,5.0,0.322070083385384,2.352460807110468,0.2999999999999998,1.070864197530864
1998-03-31,322488.0,74144.6,0.5,1.7,5.0,-0.09074230178711673,0.8692677720530284,-0.5,1.3708641975308637
1998-06-30,325884.0,73394.0,0.5,1.9,5.0,-0.06105432216809703,-1.0195548670337118,-0.5,1.170864197530864
1998-09-30,331945.0,75867.9,0.3,2.0,5.0,0.7741723960705826,1.4402969878570815,-1.3,1.070864197530864
1998-12-31,337067.0,77079.2,0.4,1.7,4.92,1.3105248390528956,2.1880345841916338,-0.8999999999999999,1.2908641975308637
1999-03-31,339582.0,76266.5,0.5,1.7,4.75,1.0735338457500632,0.31301238906848994,-0.5,1.1208641975308637
1999-06-30,340901.0,77864.7,0.5,1.7,4.75,0.49640878696521895,1.5938032746538155,-0.5,1.1208641975308637
1999-09-30,344645.0,77712.7,0.8,2.1,4.75,0.6398427242571003,0.6278242018399993,0.7000000000000002,0.7208641975308638
