year,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p,unemployment,tot_z,rp_z,covid,inflation,scenario,nominal_gdp_growth_long_run,effective_interest_rate_long_run,topdown_nominal_gdp,topdown_real_gdp,real_gdp_growth,log_population,log_real_gdp_per_capita
2055,37507396.6666667,0.154864551934241,0.249587789811406,0.258738042493849,0.114181729231798,0.101712653101387,0.120915233427319,0.222627886528706,4.5,-0.4,0,0,0.025,central,0.044,0.044,10295790.0289887,4710568.56259902,0.0185365853658537,17.440048715935,-2.07472954330009
2056,37825133.3333333,0.154555404951666,0.248793773145588,0.258058690154238,0.114688713056893,0.102110249569918,0.121793169121697,0.223903418691616,4.5,-0.4,0,0,0.025,central,0.044,0.044,10748804.7902642,4797886.41888134,0.0185365853658537,17.448484342638,-2.06479829313305
2057,38142870,0.15424625796909,0.24799975647977,0.257379337814626,0.115195696881988,0.102507846038449,0.122671104816076,0.225178950854525,4.5,-0.4,0,0,0.025,central,0.044,0.044,11221752.2010358,4886822.85006061,0.0185365853658537,17.4568494043878,-2.05479647801279
2058,38460606.6666667,0.153937110986514,0.247205739813952,0.256699985475015,0.115702680707084,0.10290544250698,0.123549040510455,0.226454483017435,4.5,-0.4,0,0,0.025,central,0.044,0.044,11715509.2978814,4977407.85898856,0.0185365853658537,17.4651450719648,-2.0447252687197
2059,38778343.3333333,0.153627964003938,0.246411723148134,0.256020633135404,0.116209664532179,0.103303038975511,0.124426976204833,0.227730015180345,4.5,-0.4,0,0,0.025,central,0.044,0.044,12230991.7069882,5069672.00466737,0.0185365853658537,17.4733724872514,-2.03458580713618
2060,39096080,0.153318817021362,0.245617706482317,0.255341280795792,0.116716648357275,0.103700635444042,0.125304911899212,0.229005547343254,4.5,-0.4,0,0,0.025,central,0.044,0.044,12769155.3420956,5163646.41255877,0.0185365853658537,17.4815327641752,-2.02437920718993
2061,39413816.6666667,0.153009670038786,0.244823689816499,0.254661928456181,0.11722363218237,0.104098231912573,0.126182847593591,0.230281079506164,4.5,-0.4,0,0,0.025,central,0.044,0.044,13330998.1771479,5259362.78508425,0.0185365853658537,17.4896269896144,-2.01410655575905
2062,39731553.3333333,0.15270052305621,0.244029673150681,0.25398257611657,0.117730616007465,0.104495828381104,0.127060783287969,0.231556611669074,4.5,-0.4,0,0,0.025,central,0.044,0.044,13917562.0969424,5356853.41231995,0.0185365853658537,17.4976562242662,-2.00376891354081
2063,40049290,0.152391376073635,0.243235656484863,0.253303223776959,0.118237599832561,0.104893424849635,0.127938718982348,0.232832143831983,4.5,-0.4,0,0,0.025,central,0.044,0.044,14529934.8292078,5456151.18288979,0.0185365853658537,17.5056215034813,-1.99336731588583
2064,40367026.6666667,0.152082229091059,0.242441639819045,0.252623871437347,0.118744583657656,0.105291021318166,0.128816654676727,0.234107675994893,4.5,-0.4,0,0,0.025,central,0.044,0.044,15169251.961693,5557289.59506043,0.0185365853658537,17.5135238380648,-1.98290277359928
2065,40684763.3333333,0.151773082108483,0.241647623153227,0.251944519097736,0.119251567482752,0.105688617786697,0.129694590371105,0.235383208157803,4.5,-0.4,0,0,0.025,central,0.044,0.044,15836699.0480075,5660302.76804203,0.0185365853658537,17.5213642150463,-1.97237627371066
2066,41002500,0.151463935125907,0.240853606487409,0.251265166758125,0.119758551307847,0.106086214255228,0.130572526065484,0.236658740320712,4.5,-0.4,0,0,0.025,central,0.044,0.044,16533513.8061198,5765225.45349842,0.0185365853658537,17.5291435984194,-1.96178878021371
2026,27971700,0.170915603985457,0.276014686272197,0.262901432519296,0.111827311175224,0.0942452550256152,0.0840957110222117,0.178340966047827,4.4,1.71265580686439,-0.190054389074944,0,0.0375,pressure,0.037,0.052,2962133.33333333,2790379.19800233,0.0275887382749584,17.1467038427377,-2.30501578491299
2027,28304600,0.168520311186168,0.275750231411149,0.262748811147305,0.111540173682016,0.0951011496364548,0.0863393229369078,0.181440472573363,4.71666666666667,1.36054650572033,-0.158378657562454,0,0.0325,pressure,0.037,0.052,3095135.13513514,2823892.61238129,0.0120103441148614,17.1585348935742,-2.30490804347913
2028,28640900,0.166300639993855,0.275532542622613,0.263078325052635,0.110733252097525,0.0958070451696699,0.0885481950637026,0.184355240233373,4.93333333333333,1.00843720457626,-0.126702926049963,0,0.03,pressure,0.037,0.052,3185558.58310627,2821739.60302215,-0.000762426074456868,17.170346324144,-2.31748219091794
2029,28983700,0.164430352232462,0.27509945245086,0.263744794487936,0.109799646007929,0.0962886035944341,0.090637151226379,0.186925754820813,5,0.656327903432197,-0.0950271945374722,0,0.02875,pressure,0.037,0.052,3331215.46961326,2868297.62734558,0.0164997593234915,17.1822441609653,-2.31301491042279
2030,29332500,0.163102360862525,0.273849825279127,0.26506775760675,0.109029233785051,0.0962379613057189,0.0927128611608284,0.188950822466547,5.06666666666667,0.304218602288131,-0.0633514630249814,0,0.0275,pressure,0.037,0.052,3508707.86516854,2940267.67177003,0.0250915538674601,17.1942066742799,-2.30019549428964
2031,29686200,0.161957407819121,0.272736153498932,0.266433561722282,0.108299479219301,0.0958121955656163,0.0947612021747479,0.190573397740364,5.13333333333333,-0.0478906988559342,-0.0316757315124907,0,0.0275,pressure,0.037,0.052,3638530.05617978,2967452.628346,0.00924574209245721,17.2061928493267,-2.30297840747725
2032,30045500,0.161351949543193,0.271305187132849,0.267823800569137,0.107560200362783,0.0952455442578755,0.0967133181341632,0.191958862392039,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,3773155.66825843,2994888.93001927,0.00924574209245721,17.2182234573158,-2.30580575360726
2033,30404200,0.161000782786589,0.269745627248867,0.269156892797706,0.106754987797738,0.0946941540971313,0.098647555271969,0.1933417093691,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,3912762.42798399,3022578.90066179,0.00924574209245721,17.2300913147283,-2.30847034916058
2034,30761100,0.160764732080452,0.268225128490204,0.270178894772944,0.105919489225028,0.094388692211917,0.100523063219456,0.194911755431373,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,4057534.6378194,3050524.88563141,0.00924574209245721,17.2417614626905,-2.31093723526371
2035,31116500,0.160776436938602,0.266357077434801,0.271174457281507,0.105281763694503,0.0940787042244468,0.10233156042614,0.196410264650587,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,4207663.41941871,3078729.25197058,0.00924574209245721,17.2532487830832,-2.3132212937972
2036,31470400,0.160738344603183,0.264674106461945,0.271645736946464,0.104549036554985,0.0941583201992984,0.104234455234125,0.198392775433423,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,4363346.96593721,3107194.3886068,0.00924574209245721,17.2645579794778,-2.31532722833267
2037,31788136.6666667,0.160429197620607,0.263880089796127,0.270966384606853,0.10505602038008,0.0945559166678294,0.105112390928503,0.199668307596333,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,4524790.80367688,3135922.70655499,0.00924574209245721,17.2746037173493,-2.31616970434504
2038,32105873.3333333,0.160120050638031,0.263086073130309,0.270287032267241,0.105563004205176,0.0949535131363604,0.105990326622882,0.200943839759242,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,4692208.06341293,3164916.63912168,0.00924574209245721,17.2845495412491,-2.3169122663857
2039,32423610,0.159810903655455,0.262292056464492,0.26960767992763,0.106069988030271,0.0953511096048914,0.106868262317261,0.202219371922152,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,4865819.7617592,3194178.64211112,0.00924574209245721,17.2943974190906,-2.31755688236812
2040,32741346.6666667,0.159501756672879,0.261498039798674,0.268928327588019,0.106576971855367,0.0957487060734224,0.107746198011639,0.203494904085062,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,5045855.09294429,3223711.19403332,0.00924574209245721,17.3041492612137,-2.31810546263202
2041,33059083.3333333,0.159192609690303,0.260704023132856,0.268248975248407,0.107083955680462,0.0961463025419534,0.108624133706018,0.204770436247971,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,5232551.73138323,3253516.79631392,0.00924574209245721,17.3138069226084,-2.31855986216757
2042,33376820,0.158883462707728,0.259910006467038,0.267569622908796,0.107590939505557,0.0965438990104844,0.109502069400397,0.206045968410881,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,5426156.14544441,3283597.97350611,0.00924574209245721,17.3233722050331,-2.31892188273317
2043,33694556.6666667,0.158574315725152,0.25911598980122,0.266890270569185,0.108097923330653,0.0969414954790154,0.110380005094775,0.207321500573791,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,5626923.92282585,3313957.27350447,0.00924574209245721,17.332846859032,-2.31919327487294
2044,34012293.3333333,0.158265168742576,0.258321973135402,0.266210918229573,0.108604907155748,0.0973390919475464,0.111257940789154,0.2085970327367,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,5835120.10797041,3344597.26776071,0.00924574209245721,17.3422325858577,-2.3193757398395
2045,34330030,0.15795602176,0.257527956469584,0.265531565889962,0.109111890980844,0.0977366884160774,0.112135876483532,0.20987256489961,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,6051019.55196531,3375520.55150156,0.00924574209245721,17.3515310393047,-2.31947093142741
2046,34647766.6666667,0.157646874777424,0.256733939803767,0.264852213550351,0.109618874805939,0.0981342848846084,0.113013812177911,0.211148097062519,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,6274907.27538803,3406729.74394854,0.00924574209245721,17.3607438274585,-2.31948045772201
2047,34965503.3333333,0.157337727794848,0.255939923137949,0.26417286121074,0.110125858631034,0.0985318813531394,0.11389174787229,0.212423629225429,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,6507078.84457739,3438227.48853979,0.00924574209245721,17.3698725143642,-2.31940588276861
2048,35283240,0.157028580812272,0.255145906472131,0.263493508871128,0.11063284245613,0.0989294778216704,0.114769683566668,0.213699161388339,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,6747840.76182675,3470016.45315402,0.00924574209245721,17.3789186216208,-2.31924872816608
2049,35600976.6666667,0.156719433829697,0.254351889806313,0.262814156531517,0.111139826281225,0.0993270742902014,0.115647619261047,0.214974693551248,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,6997510.87001434,3502099.33033647,0.00924574209245721,17.3878836299029,-2.31901047458899
2050,35918713.3333333,0.156410286847121,0.253557873140495,0.262134804191906,0.111646810106321,0.0997246707587324,0.116525554955426,0.216250225714158,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,7256418.77220487,3534478.83752693,0.00924574209245721,17.3967689804152,-2.31869256324219
2051,36236450,0.156101139864545,0.252763856474677,0.261455451852294,0.112153793931416,0.100122267227263,0.117403490649804,0.217525757877068,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,7524906.26677645,3567157.71728995,0.00924574209245721,17.4055760762835,-2.31829639725129
2052,36554186.6666667,0.155791992881969,0.251969839808859,0.260776099512683,0.112660777756511,0.100519863695794,0.118281426344183,0.218801290039977,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,7803327.79864718,3600138.73754713,0.00924574209245721,17.4143062838838,-2.31782334299247
2053,36871923.3333333,0.155482845899393,0.251175823143042,0.260096747173072,0.113167761581607,0.100917460164325,0.119159362038562,0.220076822202887,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,8092050.92719712,3633424.69181155,0.00924574209245721,17.4229609341151,-2.31727473136468
2054,37189660,0.155173698916817,0.250381806477224,0.25941739483346,0.113674745406702,0.101315056632856,0.12003729773294,0.221352354365797,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,8391456.81150341,3667018.39942441,0.00924574209245721,17.4315413236169,-2.31665185900735
2055,37507396.6666667,0.154864551934241,0.249587789811406,0.258738042493849,0.114181729231798,0.101712653101387,0.120915233427319,0.222627886528706,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,8701940.71352904,3700922.70579378,0.00924574209245721,17.440048715935,-2.31595598946625
2056,37825133.3333333,0.154555404951666,0.248793773145588,0.258058690154238,0.114688713056893,0.102110249569918,0.121793169121697,0.223903418691616,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,9023912.51992961,3735140.48263567,0.00924574209245721,17.448484342638,-2.31518835431014
2057,38142870,0.15424625796909,0.24799975647977,0.257379337814626,0.115195696881988,0.102507846038449,0.122671104816076,0.225178950854525,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,9357797.28316701,3769674.62821722,0.00924574209245721,17.4568494043878,-2.31435015420082
2058,38460606.6666667,0.153937110986514,0.247205739813952,0.256699985475015,0.115702680707084,0.10290544250698,0.123549040510455,0.226454483017435,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,9704035.78264418,3804528.06760219,0.00924574209245721,17.4651450719648,-2.31344255991867
2059,38778343.3333333,0.153627964003938,0.246411723148134,0.256020633135404,0.116209664532179,0.103303038975511,0.124426976204833,0.227730015180345,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,10063085.106602,3839703.75289876,0.00924574209245721,17.4733724872514,-2.31246671334609
2060,39096080,0.153318817021362,0.245617706482317,0.255341280795792,0.116716648357275,0.103700635444042,0.125304911899212,0.229005547343254,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,10435419.2555463,3875204.6635095,0.00924574209245721,17.4815327641752,-2.31142372841078
2061,39413816.6666667,0.153009670038786,0.244823689816499,0.254661928456181,0.11722363218237,0.104098231912573,0.126182847593591,0.230281079506164,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,10821529.7680015,3911033.8063838,0.00924574209245721,17.4896269896144,-2.31031469199084
2062,39731553.3333333,0.15270052305621,0.244029673150681,0.25398257611657,0.117730616007465,0.104495828381104,0.127060783287969,0.231556611669074,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,11221926.3694176,3947194.2162725,0.00924574209245721,17.4976562242662,-2.30914066478353
2063,40049290,0.152391376073635,0.243235656484863,0.253303223776959,0.118237599832561,0.104893424849635,0.127938718982348,0.232832143831983,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,11637137.645086,3983688.955985,0.00924574209245721,17.5056215034813,-2.30790268213949
2064,40367026.6666667,0.152082229091059,0.242441639819045,0.252623871437347,0.118744583657656,0.105291021318166,0.128816654676727,0.234107675994893,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,12067711.7379542,4020521.1166486,0.00924574209245721,17.5135238380648,-2.30660175486388
2065,40684763.3333333,0.151773082108483,0.241647623153227,0.251944519097736,0.119251567482752,0.105688617786697,0.129694590371105,0.235383208157803,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,12514217.0722585,4057693.81797041,0.00924574209245721,17.5213642150463,-2.3052388699862
2066,41002500,0.151463935125907,0.240853606487409,0.251265166758125,0.119758551307847,0.106086214255228,0.130572526065484,0.236658740320712,5.2,-0.4,0,0,0.0275,pressure,0.037,0.052,12977243.1039321,4095210.20850153,0.00924574209245721,17.5291435984194,-2.30381499150018
2026,27971700,0.170915603985457,0.276014686272197,0.262901432519296,0.111827311175224,0.0942452550256152,0.0840957110222117,0.178340966047827,4.2,1.71265580686439,-0.190054389074944,0,0.035,restraint,0.05,0.038,2962133.33333333,2797119.24437432,0.0300708366765889,17.1467038427377,-2.30260323850761
2027,28304600,0.168520311186168,0.275750231411149,0.262748811147305,0.111540173682016,0.0951011496364548,0.0863393229369078,0.181440472573363,4.4,1.36054650572033,-0.158378657562454,0,0.03,restraint,0.05,0.038,3095135.13513514,2837584.27312914,0.0144666799015478,17.1585348935742,-2.30007125346224
2028,28640900,0.166300639993855,0.275532542622613,0.263078325052635,0.110733252097525,0.0958070451696699,0.0885481950637026,0.184355240233373,4.5,1.00843720457626,-0.126702926049963,0,0.0275,restraint,0.05,0.038,3185558.58310627,2842319.65901466,0.00166880889859788,17.170346324144,-2.31021526604776
2029,28983700,0.164430352232462,0.27509945245086,0.263744794487936,0.109799646007929,0.0962886035944341,0.090637151226379,0.186925754820813,4.45,0.656327903432197,-0.0950271945374722,0,0.02625,restraint,0.05,0.038,3331215.46961326,2896255.53737049,0.018976007214657,17.1822441609653,-2.30331489432796
2030,29332500,0.163102360862525,0.273849825279127,0.26506775760675,0.109029233785051,0.0962379613057189,0.0927128611608284,0.188950822466547,4.4,0.304218602288131,-0.0633514630249814,0,0.025,restraint,0.05,0.038,3508707.86516854,2976168.37478376,0.027591777169576,17.1942066742799,-2.28805942339694
2031,29686200,0.161957407819121,0.272736153498932,0.266433561722282,0.108299479219301,0.0958121955656163,0.0947612021747479,0.190573397740364,4.35,-0.0478906988559342,-0.0316757315124907,0,0.025,restraint,0.05,0.038,3684143.25842697,3048757.84733946,0.024390243902439,17.2061928493267,-2.27594804686462
2032,30045500,0.161351949543193,0.271305187132849,0.267823800569137,0.107560200362783,0.0952455442578755,0.0967133181341632,0.191958862392039,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,3868350.42134832,3123117.79483555,0.024390243902439,17.2182234573158,-2.26388110327471
2033,30404200,0.161000782786589,0.269745627248867,0.269156892797706,0.106754987797738,0.0946941540971313,0.098647555271969,0.1933417093691,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,4061767.94241573,3199291.39958764,0.024390243902439,17.2300913147283,-2.2516514091081
2034,30761100,0.160764732080452,0.268225128490204,0.270178894772944,0.105919489225028,0.094388692211917,0.100523063219456,0.194911755431373,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,4264856.33953652,3277322.89713855,0.024390243902439,17.2417614626905,-2.23922400549132
2035,31116500,0.160776436938602,0.266357077434801,0.271174457281507,0.105281763694503,0.0940787042244468,0.10233156042614,0.196410264650587,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,4478099.15651334,3357257.60194681,0.024390243902439,17.2532487830832,-2.22661377430488
2036,31470400,0.160738344603183,0.264674106461945,0.271645736946464,0.104549036554985,0.0941583201992984,0.104234455234125,0.198392775433423,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,4702004.11433901,3439141.93370161,0.024390243902439,17.2645579794778,-2.21382541912042
2037,31788136.6666667,0.160429197620607,0.263880089796127,0.270966384606853,0.10505602038008,0.0945559166678294,0.105112390928503,0.199668307596333,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,4937104.32005596,3523023.4442797,0.024390243902439,17.2746037173493,-2.19977360541287
2038,32105873.3333333,0.160120050638031,0.263086073130309,0.270287032267241,0.105563004205176,0.0949535131363604,0.105990326622882,0.200943839759242,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,5183959.53605876,3608950.84535969,0.024390243902439,17.2845495412491,-2.18562187773361
2039,32423610,0.159810903655455,0.262292056464492,0.26960767992763,0.106069988030271,0.0953511096048914,0.106868262317261,0.202219371922152,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,5443157.5128617,3696974.03670993,0.024390243902439,17.2943974190906,-2.17137220399611
2040,32741346.6666667,0.159501756672879,0.261498039798674,0.268928327588019,0.106576971855367,0.0957487060734224,0.107746198011639,0.203494904085062,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,5715315.38850479,3787144.13516627,0.024390243902439,17.3041492612137,-2.15702649454009
2041,33059083.3333333,0.159192609690303,0.260704023132856,0.268248975248407,0.107083955680462,0.0961463025419534,0.108624133706018,0.204770436247971,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,6001081.15793003,3879513.50431667,0.024390243902439,17.3138069226084,-2.14258660435571
2042,33376820,0.158883462707728,0.259910006467038,0.267569622908796,0.107590939505557,0.0965438990104844,0.109502069400397,0.206045968410881,4.3,-0.4,0,0,0.025,restraint,0.05,0.038,6301135.21582653,3974135.78490975,0.024390243902439,17.3233722050331,-2.12805433520138
