year,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p,unemployment,tot_z,rp_z,covid,inflation,scenario,nominal_gdp_growth_long_run,effective_interest_rate_long_run,topdown_nominal_gdp,topdown_real_gdp,real_gdp_growth,log_population,log_real_gdp_per_capita
2026,27971700,0.170915603985457,0.276014686272197,0.262901432519296,0.111827311175224,0.0942452550256152,0.0840957110222117,0.178340966047827,4.4,1.71265580686439,-0.190054389074944,0,0.035,central,0.044,0.044,2962133.33333333,2797119.24437432,0.0300708366765889,17.1467038427377,-2.30260323850761
2027,28304600,0.168520311186168,0.275750231411149,0.262748811147305,0.111540173682016,0.0951011496364548,0.0863393229369078,0.181440472573363,4.6,1.36054650572033,-0.158378657562454,0,0.03,central,0.044,0.044,3095135.13513514,2837584.27312914,0.0144666799015478,17.1585348935742,-2.30007125346224
2028,28640900,0.166300639993855,0.275532542622613,0.263078325052635,0.110733252097525,0.0958070451696699,0.0885481950637026,0.184355240233373,4.7,1.00843720457626,-0.126702926049963,0,0.0275,central,0.044,0.044,3185558.58310627,2842319.65901466,0.00166880889859788,17.170346324144,-2.31021526604776
2029,28983700,0.164430352232462,0.27509945245086,0.263744794487936,0.109799646007929,0.0962886035944341,0.090637151226379,0.186925754820813,4.65,0.656327903432197,-0.0950271945374722,0,0.02625,central,0.044,0.044,3331215.46961326,2896255.53737049,0.018976007214657,17.1822441609653,-2.30331489432796
2030,29332500,0.163102360862525,0.273849825279127,0.26506775760675,0.109029233785051,0.0962379613057189,0.0927128611608284,0.188950822466547,4.6,0.304218602288131,-0.0633514630249814,0,0.025,central,0.044,0.044,3508707.86516854,2976168.37478376,0.027591777169576,17.1942066742799,-2.28805942339694
2031,29686200,0.161957407819121,0.272736153498932,0.266433561722282,0.108299479219301,0.0958121955656163,0.0947612021747479,0.190573397740364,4.55,-0.0478906988559342,-0.0316757315124907,0,0.025,central,0.044,0.044,3663091.01123596,3031336.3739261,0.0185365853658537,17.2061928493267,-2.28167872157361
2032,30045500,0.161351949543193,0.271305187132849,0.267823800569137,0.107560200362783,0.0952455442578755,0.0967133181341632,0.191958862392039,4.5,-0.4,0,0,0.025,central,0.044,0.044,3824267.01573034,3087526.99939399,0.0185365853658537,17.2182234573158,-2.27534245269268
2033,30404200,0.161000782786589,0.269745627248867,0.269156892797706,0.106754987797738,0.0946941540971313,0.098647555271969,0.1933417093691,4.5,-0.4,0,0,0.025,central,0.044,0.044,3992534.76442247,3144759.20718764,0.0185365853658537,17.2300913147283,-2.26884343323506
2034,30761100,0.160764732080452,0.268225128490204,0.270178894772944,0.105919489225028,0.094388692211917,0.100523063219456,0.194911755431373,4.5,-0.4,0,0,0.025,central,0.044,0.044,4168206.29405706,3203052.30468673,0.0185365853658537,17.2417614626905,-2.26214670432726
2035,31116500,0.160776436938602,0.266357077434801,0.271174457281507,0.105281763694503,0.0940787042244468,0.10233156042614,0.196410264650587,4.5,-0.4,0,0,0.025,central,0.044,0.044,4351607.37099557,3262425.95716385,0.0185365853658537,17.2532487830832,-2.2552671478498
2036,31470400,0.160738344603183,0.264674106461945,0.271645736946464,0.104549036554985,0.0941583201992984,0.104234455234125,0.198392775433423,4.5,-0.4,0,0,0.025,central,0.044,0.044,4543078.09531938,3322900.19441859,0.0185365853658537,17.2645579794778,-2.24820946737433
2037,31788136.6666667,0.160429197620607,0.263880089796127,0.270966384606853,0.10505602038008,0.0945559166678294,0.105112390928503,0.199668307596333,4.5,-0.4,0,0,0.025,central,0.044,0.044,4742973.53151343,3384495.41753464,0.0185365853658537,17.2746037173493,-2.23988832837576
2038,32105873.3333333,0.160120050638031,0.263086073130309,0.270287032267241,0.105563004205176,0.0949535131363604,0.105990326622882,0.200943839759242,4.5,-0.4,0,0,0.025,central,0.044,0.044,4951664.36690002,3447232.40576212,0.0185365853658537,17.2845495412491,-2.23146727540549
2039,32423610,0.159810903655455,0.262292056464492,0.26960767992763,0.106069988030271,0.0953511096048914,0.106868262317261,0.202219371922152,4.5,-0.4,0,0,0.025,central,0.044,0.044,5169537.59904362,3511132.32352746,0.0185365853658537,17.2943974190906,-2.22294827637697
2040,32741346.6666667,0.159501756672879,0.261498039798674,0.268928327588019,0.106576971855367,0.0957487060734224,0.107746198011639,0.203494904085062,4.5,-0.4,0,0,0.025,central,0.044,0.044,5396997.25340154,3576216.72757334,0.0185365853658537,17.3041492612137,-2.21433324162994
2041,33059083.3333333,0.159192609690303,0.260704023132856,0.268248975248407,0.107083955680462,0.0961463025419534,0.108624133706018,0.204770436247971,4.5,-0.4,0,0,0.025,central,0.044,0.044,5634465.13255121,3642507.57423079,0.0185365853658537,17.3138069226084,-2.20562402615454
2042,33376820,0.158883462707728,0.259910006467038,0.267569622908796,0.107590939505557,0.0965438990104844,0.109502069400397,0.206045968410881,4.5,-0.4,0,0,0.025,central,0.044,0.044,5882381.59838346,3710027.22682629,0.0185365853658537,17.3233722050331,-2.1968224317092
2043,33694556.6666667,0.158574315725152,0.25911598980122,0.266890270569185,0.108097923330653,0.0969414954790154,0.110380005094775,0.207321500573791,4.5,-0.4,0,0,0.025,central,0.044,0.044,6141206.38871234,3778798.463226,0.0185365853658537,17.332846859032,-2.18793020883804
2044,34012293.3333333,0.158265168742576,0.258321973135402,0.266210918229573,0.108604907155748,0.0973390919475464,0.111257940789154,0.2085970327367,4.5,-0.4,0,0,0.025,central,0.044,0.044,6411419.46981568,3848844.48351994,0.0185365853658537,17.3422325858577,-2.17894905879367
2045,34330030,0.15795602176,0.257527956469584,0.265531565889962,0.109111890980844,0.0977366884160774,0.112135876483532,0.20987256489961,4.5,-0.4,0,0,0.025,central,0.044,0.044,6693521.92648757,3920188.91784861,0.0185365853658537,17.3515310393047,-2.16988063537063
2046,34647766.6666667,0.157646874777424,0.256733939803767,0.264852213550351,0.109618874805939,0.0981342848846084,0.113013812177911,0.211148097062519,4.5,-0.4,0,0,0.025,central,0.044,0.044,6988036.89125302,3992855.83437458,0.0185365853658537,17.3607438274585,-2.1607265466543
2047,34965503.3333333,0.157337727794848,0.255939923137949,0.26417286121074,0.110125858631034,0.0985318813531394,0.11389174787229,0.212423629225429,4.5,-0.4,0,0,0.025,central,0.044,0.044,7295510.51446816,4066869.74740201,0.0185365853658537,17.3698725143642,-2.15148835668996
2048,35283240,0.157028580812272,0.255145906472131,0.263493508871128,0.11063284245613,0.0989294778216704,0.114769683566668,0.213699161388339,4.5,-0.4,0,0,0.025,central,0.044,0.044,7616512.97710476,4142255.62564654,0.0185365853658537,17.3789186216208,-2.14216758707649
2049,35600976.6666667,0.156719433829697,0.254351889806313,0.262814156531517,0.111139826281225,0.0993270742902014,0.115647619261047,0.214974693551248,4.5,-0.4,0,0,0.025,central,0.044,0.044,7951639.54809737,4219038.90065852,0.0185365853658537,17.3878836299029,-2.13276571848846
2050,35918713.3333333,0.156410286847121,0.253557873140495,0.262134804191906,0.111646810106321,0.0997246707587324,0.116525554955426,0.216250225714158,4.5,-0.4,0,0,0.025,central,0.044,0.044,8301511.68821365,4297245.47540244,0.0185365853658537,17.3967689804152,-2.12328419213072
2051,36236450,0.156101139864545,0.252763856474677,0.261455451852294,0.112153793931416,0.100122267227263,0.117403490649804,0.217525757877068,4.5,-0.4,0,0,0.025,central,0.044,0.044,8666778.20249505,4376901.73299526,0.0185365853658537,17.4055760762835,-2.11372441112889
2052,36554186.6666667,0.155791992881969,0.251969839808859,0.260776099512683,0.112660777756511,0.100519863695794,0.118281426344183,0.218801290039977,4.5,-0.4,0,0,0.025,central,0.044,0.044,9048116.44340483,4458034.54560688,0.0185365853658537,17.4143062838838,-2.10408774185913
2053,36871923.3333333,0.155482845899393,0.251175823143042,0.260096747173072,0.113167761581607,0.100917460164325,0.119159362038562,0.220076822202887,4.5,-0.4,0,0,0.025,central,0.044,0.044,9446233.56691465,4540671.28352545,0.0185365853658537,17.4229609341151,-2.0943755152204
2054,37189660,0.155173698916817,0.250381806477224,0.25941739483346,0.113674745406702,0.101315056632856,0.12003729773294,0.221352354365797,4.5,-0.4,0,0,0.025,central,0.044,0.044,9861867.84385889,4624839.8243908,0.0185365853658537,17.4315413236169,-2.08458902785213
