year,gfce_nom,gfcf_nom,gfce_real,gdp_nom,gdp_real,income_payable_nom,interest_payable_total_nom,interest_payable_other_nom,interest_payable_unfunded_super_nom,broad_expenditure_including_interest_nom,broad_expenditure_excluding_other_interest_nom,broad_expenditure_excluding_total_interest_nom,gov_consumption_price,gdp_price,broad_expenditure_including_interest_gdp,broad_expenditure_excluding_other_interest_gdp,broad_expenditure_excluding_total_interest_gdp,interest_payable_total_gdp,interest_payable_other_gdp,interest_payable_unfunded_super_gdp,broad_expenditure_gdp,broad_expenditure_nom,topdown_interest_treatment,topdown_interest_treatment_label,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p,tot_index,unemployment,relative_gov_price,tot_z,rp_z,covid,log_population,log_real_gdp_per_capita,population_growth,real_gdp_per_capita_growth,source
2014,300327,51124,376881,1607005,2128632,204786,29400,15965,13436,556237,540272,526837,0.796874875623871,0.754947308881949,0.346132712717135,0.336198082768878,0.32783781008771,0.0182949026294255,0.00993462994825778,0.0083608949567674,0.336198082768878,540272,exclude_other_interest,Exclude conventional other interest,23475686,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.0823152090209419,0.0643108789238363,0.146626087944778,86.65,5.84889219166667,1.05553707689086,1.48461282115537,1.26080803832885,0,16.9714758052088,-2.4004857273775,0.0149156648912836,0.0107641601100239,ABS national accounts and labour/demographic data
2015,311632,50930,385188,1630130,2174703,206180,28652,14644,14009,568742,554098,540090,0.809038703178708,0.749587414925165,0.348893646518989,0.339910313901345,0.33131713421629,0.0175765123026998,0.00898333261764399,0.00859379313306301,0.339910313901345,554098,exclude_other_interest,Exclude conventional other interest,23815995,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.0842580794965736,0.0649821265078364,0.14924020600441,77.5,6.160683775,1.07931201494288,0.913817829251527,2.04792785160186,0,16.9858679717348,-2.39346531027808,0.0143921665259903,0.00702041709941748,ABS national accounts and labour/demographic data
2016,331097,53709,403678,1664285,2234630,205449,27870,14308,13560,590255,575947,562385,0.82020075406636,0.74476982766722,0.354659808866871,0.34606272363207,0.337913878932995,0.0167459299338755,0.00859708523480053,0.00814764298182102,0.34606272363207,575947,exclude_other_interest,Exclude conventional other interest,24190907,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.086117854117665,0.0656850939900683,0.151802948107733,69.875,5.874184875,1.10128085698021,0.438155335998322,2.77525302083691,0,17.0014873767159,-2.3819011524891,0.0156194049810416,0.0115641577889849,ABS national accounts and labour/demographic data
2017,350529,62202,423469,1764037,2285877,204782,26919,14822,12097,617513,602691,590594,0.827755986860904,0.771711251305298,0.350056716497443,0.341654398405476,0.334796832492743,0.0152598840047006,0.00840231809196746,0.00685756591273312,0.341654398405476,602691,exclude_other_interest,Exclude conventional other interest,24592588,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.087541498275822,0.0664992639245613,0.154040762200383,79.675,5.697882975,1.07262397102648,1.04949860601556,1.82650595484989,0,17.0179556546894,-2.37569533857434,0.0164682779735017,0.00620581391475739,ABS national accounts and labour/demographic data
2018,368481,69429,438466,1848885,2351578,209138,30935,17643,13291,647048,629405,616113,0.840386711854511,0.786231628293852,0.349966601492251,0.3404240934401,0.333234895626283,0.0167317058659679,0.00954250805215035,0.00718865694729526,0.3404240934401,629405,exclude_other_interest,Exclude conventional other interest,24963258,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.0892320225188555,0.0673237844194856,0.156555806938341,81.25,5.50254788333333,1.06887929919352,1.14775020298261,1.70253064153967,0,17.0329156217935,-2.36231847165957,0.0149599671041329,0.0133768669147711,ABS national accounts and labour/demographic data
2019,396497,75715,460491,1954549,2403171,209820,29217,15936,13282,682032,666096,652815,0.861030943058605,0.813320816537816,0.3489459716794,0.340792684143503,0.33399776623661,0.0149482054427901,0.00815328753589703,0.00679542953387201,0.340792684143503,666096,exclude_other_interest,Exclude conventional other interest,25334826,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.0904701299310285,0.0687240559694391,0.159194185900468,85.875,5.12419361666667,1.05866089438591,1.43626679725095,1.36422865032062,0,17.0476905288993,-2.35539085566388,0.0147749071058421,0.00692761599568792,ABS national accounts and labour/demographic data
2020,433452,79020,494467,1987488,2399961,277883,22203,8912,13289,790355,781443,768152,0.876604505457392,0.828133457168679,0.397665294079763,0.393181241849007,0.386493905875155,0.011171388204608,0.00448405223075561,0.0066863296784685,0.393181241849007,781443,exclude_other_interest,Exclude conventional other interest,25649248,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.0925498868426864,0.0707219954362795,0.163271882278966,86.6,5.62885295,1.05853047944039,1.48149372283896,1.3599109865967,1,17.0600248114125,-2.36906176622635,0.0123342825131409,-0.0136709105624644,ABS national accounts and labour/demographic data
2021,467446,81511,526939,2090282,2448128,329008,22319,9257,13061,877965,868708,855646,0.887096988455969,0.853828721374046,0.420022274506502,0.415593685445313,0.409344767835153,0.0106775066713487,0.00442858906118887,0.00624843920581051,0.415593685445313,868708,exclude_other_interest,Exclude conventional other interest,25685412,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.0945011900140048,0.0734625942538901,0.167963784267895,95.2,6.23935811666667,1.03896363081859,2.01797863326225,0.712108910316471,1,17.0614337622454,-2.35059955341631,0.00140895083292847,0.0184622128100354,ABS national accounts and labour/demographic data
2022,514620,90139,563190,2339611,2552249,281626,31411,18922,12489,886385,867463,854974,0.913759122143504,0.916686028675102,0.378859989972692,0.370772320697757,0.365434253813989,0.0134257361587033,0.00808766927493502,0.00533806688376829,0.370772320697757,867463,exclude_other_interest,Exclude conventional other interest,26018721,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.0940807582355797,0.0763110146728581,0.170391772908438,106.875,4.3048022,0.996807078497937,2.74628809014502,-0.683573278980883,1,17.074326875344,-2.32184138612393,0.0128931130985528,0.0287581672923789,ABS national accounts and labour/demographic data
2023,547500,100516,573109,2576108,2643717,274020,49737,37187,12550,922036,884849,872299,0.955315655486129,0.9744265365771,0.357918223925394,0.343482881928863,0.338611191766805,0.0193070321585896,0.0144353419965312,0.00487169016205842,0.343482881928863,884849,exclude_other_interest,Exclude conventional other interest,26659922,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.0932465218765456,0.0778006777364165,0.171047199612962,106.725,3.5604815,0.980387560915467,2.73693079519578,-1.22717627745194,0,17.0986719469791,-2.31097550754981,0.0243450716351532,0.0108658785741258,ABS national accounts and labour/demographic data
2024,593860,108196,593513,2680474,2680024,298637,62334,50222,12113,1000693,950471,938359,1.00058465442206,1.0001679089441,0.373326881738081,0.354590643296671,0.350072039497492,0.0232548422405888,0.01873623844141,0.00451897686752418,0.354590643296671,950471,exclude_other_interest,Exclude conventional other interest,27194286,0.17632248186255,0.275094223838052,0.263041434513118,0.112801233317911,0.0931563711582646,0.0795842553101045,0.172740626468369,100.05,3.87445154166667,1.00041667551442,2.32053116995445,-0.564069904318708,0,17.1185174356683,-2.31718112799746,0.0198454886891568,-0.00620562044765061,ABS national accounts and labour/demographic data
2025,640825,111944,620125,2776242,2715463,311672,64881,52906,11975,1064441,1011535,999560,1.03338036686152,1.02238255501916,0.383410740130003,0.364354044063882,0.360040659279703,0.0233700808503005,0.019056696066121,0.00431338478417948,0.364354044063882,1011535,exclude_other_interest,Exclude conventional other interest,27611026,0.173979771704246,0.275554519415541,0.263270549960729,0.11192506935454,0.0934652699975727,0.0818048195673714,0.175270089564944,95.95,4.09257875,1.01075704176325,2.06476510800846,-0.221730120587435,0,17.133725743665,-2.31925271278414,0.0152083079967369,-0.00207158478668745,ABS national accounts and labour/demographic data
