driver,year,index,abs_series_id,growth,source,source_url,downloaded
public_admin_wpi,2020,135.3,A2705258A,0.0211320754716982,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_admin_wpi,2021,137.2,A2705258A,0.0140428677014042,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_admin_wpi,2022,140.4,A2705258A,0.02332361516035,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_admin_wpi,2023,144,A2705258A,0.0256410256410256,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_admin_wpi,2024,148.9,A2705258A,0.0340277777777778,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_admin_wpi,2025,154,A2705258A,0.0342511752854264,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_admin_wpi,2026,160.2,A2705258A,0.0402597402597402,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,1998,65.5,A2705270T,,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,1999,68.1,A2705270T,0.0396946564885496,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2000,70.1,A2705270T,0.0293685756240822,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
