item,value,year
Sales of goods and services,60207,2022
Interest income,9644,2022
Dividend income,19555,2022
Royalty income,26440,2022
Other revenue,32344,2022
Total GFS revenue,831520,2022
Depreciation,36719,2022
Superannuation expenses,30670,2022
Other employee expenses,193626,2022
Social benefits to households in goods and services,132665,2022
Other non-employee expenses,167740,2022
Total gross operating expenses,561420,2022
Interest on defined benefit superannuation,11502,2022
Interest expenses n.e.c.,28255,2022
Other property expenses,4,2022
Grant expenses to state governments,0,2022
Grant expenses to universities,0,2022
Grant expenses to local governments,0,2022
Grant expenses n.e.c.,4436,2022
Subsidy expenses to public corporations,10790,2022
Other subsidy expenses,38920,2022
Other current transfers,197149,2022
Capital transfer expenses,13799,2022
Total GFS expenses,866274,2022
GFS Net operating balance,-34754,2022
Gross fixed capital formation,84588,2022
less Depreciation,-36719,2022
plus Change in inventories,4072,2022
plus Other transactions in non-financial assets,916,2022
Total net acquisition of non-financial assets,52856,2022
GFS Net Lending(+)/Borrowing(-),-87611,2022
Taxation revenue,755519,2023
Current grants and subsidies,0,2023
Sales of goods and services,66057,2023
Interest income,17988,2023
Dividend income,11748,2023
Royalty income,37101,2023
Other revenue,34933,2023
Total GFS revenue,923346,2023
Depreciation,39238,2023
Superannuation expenses,28668,2023
Other employee expenses,206803,2023
Social benefits to households in goods and services,144855,2023
Other non-employee expenses,175374,2023
Total gross operating expenses,594938,2023
Interest on defined benefit superannuation,16668,2023
Interest expenses n.e.c.,36498,2023
Other property expenses,4,2023
Grant expenses to state governments,0,2023
Grant expenses to universities,0,2023
Grant expenses to local governments,0,2023
Grant expenses n.e.c.,4380,2023
Subsidy expenses to public corporations,11621,2023
Other subsidy expenses,21616,2023
Other current transfers,186920,2023
Capital transfer expenses,12775,2023
Total GFS expenses,885420,2023
GFS Net operating balance,37926,2023
Gross fixed capital formation,92691,2023
less Depreciation,-39238,2023
plus Change in inventories,2175,2023
plus Other transactions in non-financial assets,4911,2023
Total net acquisition of non-financial assets,60538,2023
GFS Net Lending(+)/Borrowing(-),-22612,2023
Taxation revenue,801555,2024
Current grants and subsidies,0,2024
Sales of goods and services,71807,2024
Interest income,22495,2024
Dividend income,14107,2024
Royalty income,29811,2024
Other revenue,38404,2024
Total GFS revenue,978180,2024
Depreciation,43298,2024
Superannuation expenses,30328,2024
Other employee expenses,227299,2024
Social benefits to households in goods and services,167351,2024
Other non-employee expenses,183445,2024
Total gross operating expenses,651720,2024
Interest on defined benefit superannuation,17967,2024
Interest expenses n.e.c.,42340,2024
Other property expenses,4,2024
Grant expenses to state governments,0,2024
Grant expenses to universities,0,2024
Grant expenses to local governments,0,2024
Grant expenses n.e.c.,4208,2024
Subsidy expenses to public corporations,10604,2024
Other subsidy expenses,22492,2024
Other current transfers,199489,2024
Capital transfer expenses,10910,2024
Total GFS expenses,959733,2024
GFS Net operating balance,18447,2024
Gross fixed capital formation,102898,2024
less Depreciation,-43298,2024
plus Change in inventories,825,2024
plus Other transactions in non-financial assets,3133,2024
Total net acquisition of non-financial assets,63559,2024
GFS Net Lending(+)/Borrowing(-),-45112,2024
Taxation revenue,838974,2025
Current grants and subsidies,0,2025
Sales of goods and services,78995,2025
Interest income,22065,2025
Dividend income,17942,2025
Royalty income,23043,2025
Other revenue,41333,2025
Total GFS revenue,1022351,2025
Depreciation,46319,2025
Superannuation expenses,32728,2025
Other employee expenses,247030,2025
Social benefits to households in goods and services,187934,2025
Other non-employee expenses,191536,2025
Total gross operating expenses,705547,2025
Interest on defined benefit superannuation,18871,2025
Interest expenses n.e.c.,47429,2025
Other property expenses,4,2025
Grant expenses to state governments,0,2025
Grant expenses to universities,0,2025
Grant expenses to local governments,0,2025
Grant expenses n.e.c.,4464,2025
Subsidy expenses to public corporations,10715,2025
Other subsidy expenses,20932,2025
Other current transfers,211156,2025
Capital transfer expenses,11391,2025
Total GFS expenses,1030511,2025
GFS Net operating balance,-8159,2025
Gross fixed capital formation,101744,2025
less Depreciation,-46319,2025
plus Change in inventories,2191,2025
plus Other transactions in non-financial assets,3554,2025
Total net acquisition of non-financial assets,61169,2025
GFS Net Lending(+)/Borrowing(-),-69329,2025
