scenario,strategy,monetary_loss,fiscal_loss,joint_loss,peak_abs_output_gap,peak_abs_inflation_gap,peak_abs_debt_gap,peak_abs_monetary,peak_abs_fiscal
demand_contraction,nash,0.05180162369725906,0.1269655380732876,0.17876716177054663,0.46387449164984773,0.08353299307652863,0.04194222021827598,0.187302411124068,0.20457642936209283
demand_contraction,cooperative,0.056423486877536,0.11204407834159015,0.16846756521912615,0.46387449164984773,0.08189692562034011,0.039834406114859194,0.41714753119349707,0.27757935887114094
demand_contraction,central_bank_leader,0.05167685896924685,0.1264944830724226,0.17817134204166943,0.46387449164984773,0.08345195875404463,0.0428814699272924,0.2165703239686832,0.2125840081213805
demand_contraction,fiscal_leader,0.0521408953089353,0.12683705046536614,0.17897794577430143,0.46387449164984773,0.08355065153296527,0.03853618435274101,0.1903507798644034,0.1993594021869471
fiscal_stress,nash,0.25880563256056965,1.1987356550307267,1.4575412875912963,0.17712740305887328,0.6699569103763775,1.0,0.6686706701776588,2.023090868593049
fiscal_stress,cooperative,0.31789515911242705,1.0306716242106067,1.3485667833230337,0.10155199447102571,0.6699569103763775,1.0,1.4202863278267681,1.916954329116782
fiscal_stress,central_bank_leader,0.25813429208352223,1.1938287059917716,1.451962998075294,0.1716607843916057,0.6699569103763775,1.0,0.7362711845030175,2.003469583890202
fiscal_stress,fiscal_leader,0.2629701574021138,1.1965560424801662,1.45952619988228,0.18064509340814416,0.6699569103763775,1.0,0.6826022844882246,2.0612768247035143
supply_inflation,nash,0.2105158701337884,0.07050709067758282,0.28102296081137124,0.025548371238071743,0.6699569103763775,0.07276680734907076,0.14982548023488443,0.32930522807838997
supply_inflation,cooperative,0.211760235296526,0.06624710153440333,0.2780073368309293,0.01217288364506118,0.6699569103763775,0.07372396155923044,0.27483308009931057,0.30182303993371157
supply_inflation,central_bank_leader,0.210467734880218,0.07038474083601742,0.2808524757162354,0.024017367438688077,0.6699569103763775,0.07305547670073272,0.1687056325765013,0.3238802333410833
supply_inflation,fiscal_leader,0.21068382716722134,0.07043623308314265,0.28112006025036396,0.02621474865086986,0.6699569103763775,0.07246974006686727,0.1518685233899806,0.336364742819284
