"","table_no","sheet_no","table_title","date","series","value","series_type","data_type","collection_month","frequency","series_id","unit"
"29","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2001-03-01,"GDP per capita: Current prices ;",9303,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"30","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2001-06-01,"GDP per capita: Current prices ;",9369,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"31","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2001-09-01,"GDP per capita: Current prices ;",9537,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"32","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2001-12-01,"GDP per capita: Current prices ;",9636,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"33","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2002-03-01,"GDP per capita: Current prices ;",9823,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"34","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2002-06-01,"GDP per capita: Current prices ;",9965,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"35","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2002-09-01,"GDP per capita: Current prices ;",10074,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"36","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2002-12-01,"GDP per capita: Current prices ;",10210,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"37","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2003-03-01,"GDP per capita: Current prices ;",10293,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"38","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2003-06-01,"GDP per capita: Current prices ;",10363,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"39","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2003-09-01,"GDP per capita: Current prices ;",10574,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"40","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2003-12-01,"GDP per capita: Current prices ;",10809,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"41","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2004-03-01,"GDP per capita: Current prices ;",10990,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"42","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2004-06-01,"GDP per capita: Current prices ;",11132,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"43","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2004-09-01,"GDP per capita: Current prices ;",11256,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"44","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2004-12-01,"GDP per capita: Current prices ;",11419,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"45","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2005-03-01,"GDP per capita: Current prices ;",11597,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"46","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2005-06-01,"GDP per capita: Current prices ;",11804,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"47","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2005-09-01,"GDP per capita: Current prices ;",12037,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"48","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2005-12-01,"GDP per capita: Current prices ;",12261,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"49","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2006-03-01,"GDP per capita: Current prices ;",12364,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"50","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2006-06-01,"GDP per capita: Current prices ;",12485,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"51","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2006-09-01,"GDP per capita: Current prices ;",12793,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"52","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2006-12-01,"GDP per capita: Current prices ;",13077,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"53","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2007-03-01,"GDP per capita: Current prices ;",13345,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"54","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2007-06-01,"GDP per capita: Current prices ;",13478,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"55","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2007-09-01,"GDP per capita: Current prices ;",13628,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"56","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2007-12-01,"GDP per capita: Current prices ;",13820,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"57","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2008-03-01,"GDP per capita: Current prices ;",14107,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"58","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",2008-06-01,"GDP per capita: Current prices ;",14393,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
