t,estimate,conf.low,conf.high
-6,103.69042969848228,-1337.7032358775184,1545.0840952744832
-5,19.14586266914944,-1373.0207059486022,1411.312431286901
-4,311.22377007832404,-1172.127564735962,1794.57510489261
-3,1169.9071283909243,-293.8485354356385,2633.662792217487
-2,1138.8962472653113,-324.0250675949537,2601.8175621255764
0,-5703.9369105789565,-7202.7116066722,-4205.162214485713
1,-14792.170192832515,-16205.60371159562,-13378.736674069409
2,-11656.663106701439,-13049.92164012241,-10263.404573280468
3,-9817.790945478093,-11261.734758505032,-8373.847132451154
4,-8877.922630332809,-10336.524993688714,-7419.320266976903
5,-8764.229117918461,-10190.101523958527,-7338.356711878396
6,-7887.227059345469,-9326.186359295198,-6448.26775939574
7,-7804.360205920864,-9300.47877528863,-6308.2416365531
8,-7316.072722754955,-8831.139255986322,-5801.0061895235895
9,-6546.580570220747,-8087.726258869613,-5005.434881571881
10,-5313.203883085126,-6975.9277653262425,-3650.4800008440097
-7,-162.53742904678197,-1647.832657327749,1322.7577992341853
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
