t,estimate,conf.low,conf.high
-6,1023.9586263925646,-59.37175697374778,2107.289009758877
-5,1025.9045625941349,-30.265921359032745,2082.0750465473025
-4,1301.2325280014086,173.1320169326318,2429.3330390701854
-3,937.0501797598645,-155.53444273279024,2029.6348022525192
-2,979.9327448191802,-140.6734596058925,2100.5389492442528
0,-6176.865230183179,-7342.9035357925695,-5010.826924573788
1,-15340.771457954892,-16417.856421937657,-14263.686493972125
2,-12537.912160437047,-13595.298835812471,-11480.525485061622
3,-10588.960528850772,-11700.921124193366,-9476.999933508177
4,-9911.088285920794,-11020.700305650564,-8801.476266191024
5,-9550.61318475647,-10630.168085073334,-8471.058284439607
6,-8614.27882852905,-9693.48298980352,-7535.07466725458
7,-8531.768632361289,-9646.086788536079,-7417.450476186499
8,-7688.801710564515,-8820.925074823443,-6556.678346305587
9,-6957.21778236267,-8105.141517378822,-5809.294047346518
10,-5654.365883103136,-6929.917386742997,-4378.814379463275
-7,1004.3216863158169,-100.92144920986891,2109.5648218415026
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
