t,estimate,conf.low,conf.high
2,-6849.811782020348,-7852.552035329875,-5847.0715287108205
3,-4758.852849991056,-5830.503095423983,-3687.2026045581297
4,-3990.1529728209425,-5073.5110614252535,-2906.7948842166315
5,-3657.9923135807885,-4691.7213386862695,-2624.2632884753075
6,-2977.0140155300246,-4006.7348086400475,-1947.2932224200017
8,-2790.484333506811,-3872.7900617128757,-1708.1786053007459
9,-2393.2471468282406,-3481.0984620775457,-1305.3958315789355
10,-1207.1953329538615,-2491.5183935181894,77.12772761046631
1,-10101.020512018911,-11152.61324486589,-9049.427779171932
7,-3296.6814465843568,-4356.272051922982,-2237.0908412457316
-7,615.5056055177906,-450.42022026171503,1681.4314312972963
-6,813.4435087150868,-228.42718498885972,1855.3142024190333
-5,892.2833201351292,-107.43815232301495,1892.0047925932734
-4,1182.43683769702,123.95244777537778,2240.9212276186627
-3,1013.1022778071982,-15.266192336855624,2041.4707479512522
-2,1053.4581087181316,44.78281719109066,2062.1334002451727
0,-3432.1786950069377,-4504.550424380557,-2359.806965633318
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
