t,estimate,conf.low,conf.high
-7,-483.01912354785406,-2106.8539692824243,1140.815722186716
-6,85.92848151929824,-1484.486122172296,1656.3430852108925
-5,150.7898028158659,-1350.8954212403655,1652.4750268720973
-4,986.6621324731142,-607.9502001309189,2581.2744650771474
-3,1181.9253374172056,-322.70067916595076,2686.551354000362
-2,1095.6873987181345,-418.55914366726347,2609.9339411035326
0,-1956.346383170011,-3479.992448922359,-432.700317417663
1,-8111.580725453375,-9638.64822054308,-6584.513230363669
2,-3399.9651256672164,-4869.278388201021,-1930.6518631334118
3,-669.1608652484763,-2180.6697874001557,842.3480569032031
4,-140.8555802231099,-1663.209558524623,1381.4983980784032
5,158.45000002466924,-1364.1423209744053,1681.0423210237436
6,-172.38771111367743,-1704.4287859050546,1359.6533636776999
7,-406.01927072530475,-1957.9432788256404,1145.904737375031
8,104.22215002784316,-1493.5109192609336,1701.9552193166198
9,90.05648637153078,-1552.0339254682065,1732.146898211268
10,327.608403559972,-1524.9570124558663,2180.1738195758103
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
