group,bin,N
Displaced,"(50,55]",319
Displaced,"(35,40]",876
Displaced,"(45,50]",1046
Displaced,"(25,30]",527
Displaced,"(40,45]",953
Displaced,"(30,35]",713
Displaced,"(20,25]",348
Non-displaced,"(35,40]",158784
Non-displaced,"(40,45]",176481
Non-displaced,"(45,50]",203088
Non-displaced,"(50,55]",70470
Non-displaced,"(30,35]",112290
Non-displaced,"(25,30]",66910
Non-displaced,"(20,25]",21155
