group,bin,N
Displaced,"(50,55]",281
Displaced,"(35,40]",776
Displaced,"(45,50]",943
Displaced,"(25,30]",442
Displaced,"(40,45]",859
Displaced,"(30,35]",623
Displaced,"(20,25]",294
Non-displaced,"(35,40]",158784
Non-displaced,"(40,45]",176481
Non-displaced,"(45,50]",203088
Non-displaced,"(50,55]",70470
Non-displaced,"(30,35]",112290
Non-displaced,"(25,30]",66910
Non-displaced,"(20,25]",21155
