group,year,contribution_change_pp,cumulative_contribution_pp
Age composition,2019,0,0
Age composition,2020,0.687640688378367,0.687640688378367
Age composition,2021,0.904322553702491,1.59196324208086
Age composition,2022,1.17862270063444,2.7705859427153
Age composition,2023,0.880813216397922,3.65139915911322
Age composition,2024,0.877675887996925,4.52907504711014
Age composition,2025,0.957155692676277,5.48623073978642
Age composition,2026,1.01183080931553,6.49806154910195
Age composition,2027,0.937109544467058,7.43517109356901
Age composition,2028,0.919639138698297,8.35481023226731
Age composition,2029,0.862456162416821,9.21726639468413
Age composition,2030,0.845981445991669,10.0632478406758
Age composition,2031,0.843881849608013,10.9071296902838
Age composition,2032,0.774973754434986,11.6821034447188
Age composition,2033,0.747406557018547,12.4295100017373
Age composition,2034,0.702780800274174,13.1322908020115
Age composition,2035,0.659466823452261,13.7917576254638
Age composition,2036,0.673858749168284,14.4656163746321
Age composition,2037,0.312796871734391,14.7784132463664
Age composition,2038,0.312796871734751,15.0912101181012
Age composition,2039,0.312796871734745,15.4040069898359
Age composition,2040,0.312796871734391,15.7168038615703
Age composition,2041,0.31279687173475,16.0296007333051
Age composition,2042,0.312796871734671,16.3423976050398
Age composition,2043,0.31279687173439,16.6551944767741
Age composition,2044,0.312796871734748,16.9679913485089
Age composition,2045,0.312796871734391,17.2807882202433
Age composition,2046,0.312796871734743,17.593585091978
Age composition,2047,0.312796871734751,17.9063819637128
Age composition,2048,0.31279687173439,18.2191788354472
Age composition,2049,0.312796871734664,18.5319757071818
Age composition,2050,0.312796871734751,18.8447725789166
Age composition,2051,0.312796871734414,19.157569450651
Age composition,2052,0.312796871734743,19.4703663223857
Age composition,2053,0.312796871734748,19.7831631941205
Age composition,2054,0.31279687173439,20.0959600658549
Age composition,2055,0.312796871734751,20.4087569375896
Age composition,2056,0.312796871734312,20.7215538093239
Age composition,2057,0.312796871734751,21.0343506810587
Age composition,2058,0.312796871734743,21.3471475527934
Age composition,2059,0.312796871734397,21.6599444245278
Age composition,2060,0.312796871734744,21.9727412962626
Age composition,2061,0.312796871734743,22.2855381679973
Age composition,2062,0.312796871734388,22.5983350397317
Age composition,2063,0.312796871734665,22.9111319114664
Age composition,2064,0.312796871734756,23.2239287832011
Age composition,2065,0.312796871734391,23.5367256549355
Age composition,2066,0.31279687173475,23.8495225266703
COVID interventions,2019,0,0
COVID interventions,2020,0,0
COVID interventions,2021,0,0
COVID interventions,2022,0,0
COVID interventions,2023,0,0
COVID interventions,2024,0,0
COVID interventions,2025,0,0
