model,model_label,anchor_type,anchor_label,primary_fiscal_expenditure_2066_pp,public_debt_interest_2066_pp,total_fiscal_expenditure_2066_pp,net_debt_2066_pp,gross_debt_2066_pp
central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30,40.0140616646279,6.88895361568074,46.9030152803086,145.976273177615,167.476273177615
midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30,44.4315283735047,10.9528299343315,55.3843583078362,246.723867988461,268.223867988461
pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30,48.8489950823815,15.5182401366455,64.367235219027,359.371059726528,380.871059726528
no_income,Model excluding GDP PC,pbo,PBO forecast through 2029-30,41.3370880159489,6.71518751504249,48.0522755309914,143.176303868338,164.676303868338
central_gdp,GDP PC model: 1.03% growth,actual,Latest National Accounts actual (2024-25),45.4560883779574,15.2393428575121,60.6954312354695,349.550262810761,371.050262810761
midpoint_gdp,GDP PC model: 0.56% growth,actual,Latest National Accounts actual (2024-25),50.0360658217143,20.3538364349573,70.3899022566717,475.388650587883,496.888650587883
pressure_gdp,GDP PC model: 0.10% growth,actual,Latest National Accounts actual (2024-25),54.6160432654711,26.119973754707,80.7360170201781,616.688332847257,638.188332847257
no_income,Model excluding GDP PC,actual,Latest National Accounts actual (2024-25),44.648484441081,11.6374851576525,56.2859695987335,263.28039890449,284.78039890449
