contribution_group,counterfactual_net_debt_2066_pp,driver_effect_on_net_debt_2066_pp
Age composition,-116.805688217415,262.781961395031
COVID interventions,145.976273177615,0
Real GDP per capita,295.872342312619,-149.896069135004
Relative government prices,143.641939696347,2.33433348126881
Transitory macro bridge,145.976273177615,0
