group,year,contribution_change_pp,cumulative_contribution_pp
Relative government prices,2062,0,0.0657850444462073
Relative government prices,2063,0,0.0657850444462073
Relative government prices,2064,0,0.0657850444462073
Relative government prices,2065,0,0.0657850444462073
Relative government prices,2066,0,0.0657850444462073
Transitory macro bridge,2030,0,0
Transitory macro bridge,2031,0,0
Transitory macro bridge,2032,0,0
Transitory macro bridge,2033,0,0
Transitory macro bridge,2034,0,0
Transitory macro bridge,2035,0,0
Transitory macro bridge,2036,0,0
Transitory macro bridge,2037,0,0
Transitory macro bridge,2038,0,0
Transitory macro bridge,2039,0,0
Transitory macro bridge,2040,0,0
Transitory macro bridge,2041,0,0
Transitory macro bridge,2042,0,0
Transitory macro bridge,2043,0,0
Transitory macro bridge,2044,0,0
Transitory macro bridge,2045,0,0
Transitory macro bridge,2046,0,0
Transitory macro bridge,2047,0,0
Transitory macro bridge,2048,0,0
Transitory macro bridge,2049,0,0
Transitory macro bridge,2050,0,0
Transitory macro bridge,2051,0,0
Transitory macro bridge,2052,0,0
Transitory macro bridge,2053,0,0
Transitory macro bridge,2054,0,0
Transitory macro bridge,2055,0,0
Transitory macro bridge,2056,0,0
Transitory macro bridge,2057,0,0
Transitory macro bridge,2058,0,0
Transitory macro bridge,2059,0,0
Transitory macro bridge,2060,0,0
Transitory macro bridge,2061,0,0
Transitory macro bridge,2062,0,0
Transitory macro bridge,2063,0,0
Transitory macro bridge,2064,0,0
Transitory macro bridge,2065,0,0
Transitory macro bridge,2066,0,0
