window,first_estimation_year,last_estimation_year,endpoint_2066_pp,difference_from_full_sample_pp
Full window 1980-2025,1982,2025,40.0140616646279,0
Starts in 1990; through 2025,1990,2025,36.1195647814492,-3.89449688317867
Estimated through 2019,1982,2019,39.2534544996602,-0.760607164967645
Combined population share aged 65+ instead of separate 65-74 and 75+ shares,1982,2025,33.0457062250353,-6.96835543959258
