model,model_label,in_sample_rmse_pp,in_sample_r_squared,residual_ljung_box_p,average_rolling_rmse_pp,rolling_rmse_1y_pp,rolling_rmse_5y_pp,model_only_endpoint,pbo_anchored_endpoint,maximum_window_shift_pp
ardl_ecm,ARDL error-correction model,0.523945326940737,0.915655920816391,0.290203248118695,3.1515535360275,1.8552579543652,3.94414240195177,30.9304440403049,31.714141898637,1.44833752245803
arimax_diff,Differenced ARIMAX,0.589958041491215,0.892407369773775,,3.58478900623359,1.80103632342544,4.96739803526813,33.9572530505038,32.9419110676461,1.39115422458554
arimax_level,ARIMAX (levels),0.552756959609925,0.908745796665652,,4.4545592655944,3.1771636756554,5.68562569341786,37.4904247077735,36.2726439233058,5.1031414047486
hybrid,Hybrid structural/macro,0.620135624808884,0.881118675289015,,4.34329270675375,3.20868065300115,5.60473551360858,38.0227615821868,36.1637956277235,5.37711708957926
structural_ols,Structural OLS (levels),0.768900301258291,0.823426916420023,0.000825062772963792,4.66220782212671,3.38856342796503,5.92420064368217,36.2972954925584,36.5203366113434,5.58685835575354
