contribution_group,counterfactual_net_debt_2066_pp,driver_effect_on_net_debt_2066_pp
Age composition,-117.177855576246,247.687773745878
Real GDP per capita,281.120531234145,-150.610613064513
Relative government prices,127.97724233876,2.5326758308724
Transitory macro bridge,130.509918169632,0
