model,model_label,anchored_primary_fiscal_2066_pp,actual_anchored_primary_fiscal_2066_pp,historical_2019_anchored_primary_fiscal_2066_pp,conditional_model_only_primary_fiscal_2066_pp,central_lower_80_pp,central_upper_80_pp,central_lower_95_pp,central_upper_95_pp,actual_anchor_lower_80_pp,actual_anchor_upper_80_pp,actual_anchor_lower_95_pp,actual_anchor_upper_95_pp,historical_2019_lower_80_pp,historical_2019_upper_80_pp,historical_2019_lower_95_pp,historical_2019_upper_95_pp
central_gdp,GDP PC model: 1.03% growth,39.2534544996602,44.6112881344542,44.8979425602823,42.6759053652683,35.2939901049067,43.2129188944137,33.1979762649723,45.3089327343482,39.6653880637243,49.5571882051841,37.0471867198964,52.175389549012,38.3360841925381,51.4598009280264,34.862446199302,54.9334389212625
midpoint_gdp,GDP PC model: 0.56% growth,43.6919789590094,49.2130980058298,49.4997524316579,,,,,,,,,,,,,
no_income,Model excluding GDP PC,31.8114496122559,33.0321847032426,28.4478588164824,31.5587441158141,,,,,,,,,,,,
pressure_gdp,GDP PC model: 0.10% growth,48.1305034183586,53.8149078772054,54.1015623030335,,,,,,,,,,,,,
