year,primary_fiscal_pp,model,model_label,path_type,underlying_model,income_case,income_case_label
2059,44.5007475496517,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2060,44.5217318554285,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2061,44.5409387747714,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2062,44.5583968500958,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2063,44.5741339417625,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2064,44.5881772496353,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2065,44.6005533337955,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2066,44.6112881344542,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2025,36.4354044063882,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2026,37.0584681124528,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2027,37.9773017912356,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2028,39.2187690645108,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2029,39.9430548721134,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2030,40.4211190468204,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2031,41.2263320973405,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2032,41.9585588189723,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2033,42.6196232712913,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2034,43.2289171993566,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2035,43.7877405193983,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2036,44.3526086757985,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2037,44.5476213970967,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2038,44.7399455226905,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2039,44.9296340073725,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2040,45.1167382566776,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2041,45.301308186734,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2042,45.4833922812503,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2043,45.6630376458047,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2044,45.8402900595854,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
