model,model_label,observations,first_year,last_year,arima_order,change_r_squared,one_step_rmse_pp,one_step_mae_pp,residual_ljung_box_p,aicc,bic
with_income,Structural-change model with real GDP per capita,38,1982,2019,"0,0,2",0.820323895564703,0.384050303602827,0.314344290887026,0.0459214505783865,77.5801535952577,84.7511875119743
no_income,Sensitivity: omit real GDP per capita,38,1982,2019,"0,0,2",0.733489979535603,0.46773484247805,0.355936745139551,0.130216812708849,85.4550280352511,93.3146296383952
structural_only,Sensitivity: omit transitory macro factors,39,1981,2019,"0,0,2",0.745188543149381,0.455096386338935,0.353602431465013,0.121511552572965,76.1116495406448,84.620142709682
arima_benchmark,Statistical ARIMA benchmark,39,1981,2019,"0,0,0",-0.00568469735267585,0.904117410602303,0.606968105319739,0.0195492586765925,104.923221951057,106.478675489079
