error_specification,is_bic_selected,ar_order,ma_order,bic,aicc,residual_ljung_box_p,max_abs_residual_acf_lags_1_5,age_65_74_coefficient,age_75p_coefficient,real_gdp_per_capita_coefficient,pbo_anchored_primary_fiscal_2066_pp
"BIC-selected ARMA(0,2)",TRUE,0,2,84.7511875119743,77.5801535952577,0.0459214505783865,0.370255526543854,-0.649359523267592,3.32672349716365,-26.9091064925505,39.2534544996602
"Fixed ARMA(0,0)",FALSE,0,0,94.633361059372,86.4056476102563,0.216357267930482,0.236668949385904,-0.413557063976766,2.3492264049547,-24.068996159664,36.9017816995306
Fixed AR(1),FALSE,1,0,98.2207739337851,90.361172330641,0.13707626827813,0.240940126727589,-0.391405230795747,2.31494315360331,-23.7321673085119,36.8692192114675
Fixed MA(1),FALSE,0,1,98.1539074572536,90.2943058541095,0.13931743704599,0.248959349226428,-0.362978993289128,2.28522799709431,-23.3867617909368,36.8540216525396
"Fixed ARMA(1,1)",FALSE,1,1,96.3869061049165,89.2158721881999,0.0827450124034274,0.255456729911813,-0.257749027772914,3.12161949847478,-29.0735366683918,38.2508445020075
Fixed AR(2),FALSE,2,0,99.2976885952915,92.1266546785748,0.0464672737832971,0.370502406632107,-0.483812435296279,2.61940536627522,-24.1009862920155,37.7530688575209
Fixed MA(2),TRUE,0,2,84.7511875119743,77.5801535952577,0.0459214505783865,0.370255526543854,-0.649359523267592,3.32672349716365,-26.9091064925505,39.2534544996602
