"nominal_return","annual_real_return","treatment","tax_as_share_real_gain"
0.034,0.00878048780487806,"Full nominal gain taxed",1.238204366821
0.035,0.00975609756097562,"50% discount",0.448401122443914
0.035,0.00975609756097562,"Inflation indexation",0.229417650794308
0.035,0.00975609756097562,"Full nominal gain taxed",1.15625290802321
0.036,0.0107317073170732,"50% discount",0.427194846601479
0.036,0.0107317073170732,"Inflation indexation",0.240584857061426
0.036,0.0107317073170732,"Full nominal gain taxed",1.08921209006214
0.037,0.0117073170731707,"50% discount",0.409525953620027
0.037,0.0117073170731707,"Inflation indexation",0.251893860971243
0.037,0.0117073170731707,"Full nominal gain taxed",1.03335423709708
0.038,0.0126829268292683,"50% discount",0.394578119774084
0.038,0.0126829268292683,"Inflation indexation",0.261461246521912
0.038,0.0126829268292683,"Full nominal gain taxed",0.986098650344172
0.039,0.0136585365853659,"50% discount",0.381768256651993
0.039,0.0136585365853659,"Inflation indexation",0.269660220406921
0.039,0.0136585365853659,"Full nominal gain taxed",0.945601973414416
0.04,0.0146341463414634,"50% discount",0.3706687660516
0.04,0.0146341463414634,"Inflation indexation",0.280825120586898
0.04,0.0146341463414634,"Full nominal gain taxed",0.910512411516302
0.041,0.015609756097561,"50% discount",0.360958949290109
0.041,0.015609756097561,"Inflation indexation",0.292101780122593
0.041,0.015609756097561,"Full nominal gain taxed",0.879816118457624
0.042,0.0165853658536586,"50% discount",0.352393566169237
0.042,0.0165853658536586,"Inflation indexation",0.302049332339018
0.042,0.0165853658536586,"Full nominal gain taxed",0.852737799999455
0.043,0.0175609756097561,"50% discount",0.344781874285359
0.043,0.0175609756097561,"Inflation indexation",0.310889299145139
0.043,0.0175609756097561,"Full nominal gain taxed",0.828674449425578
0.044,0.0185365853658537,"50% discount",0.337973287504835
0.044,0.0185365853658537,"Inflation indexation",0.318796566288191
0.044,0.0185365853658537,"Full nominal gain taxed",0.807150008721479
0.045,0.0195121951219512,"50% discount",0.331847336896769
0.045,0.0195121951219512,"Inflation indexation",0.325911042393817
0.045,0.0195121951219512,"Full nominal gain taxed",0.787783631399721
