"nominal_return","annual_real_return","treatment","final_wealth"
0.097,0.0702439024390245,"No capital gains tax",2523865.8990305
0.097,0.0702439024390245,"50% discount",2214858.07174864
0.097,0.0702439024390245,"Inflation indexation",1998026.28935514
0.097,0.0702439024390245,"Full nominal gain taxed",1871988.24446678
0.098,0.0712195121951222,"No capital gains tax",2546967.48743686
0.098,0.0712195121951222,"50% discount",2232761.80276357
0.098,0.0712195121951222,"Inflation indexation",2010732.16297864
0.098,0.0712195121951222,"Full nominal gain taxed",1884694.11809027
0.099,0.0721951219512196,"No capital gains tax",2570259.21121202
0.099,0.0721951219512196,"50% discount",2250812.88868932
0.099,0.0721951219512196,"Inflation indexation",2023542.61105497
0.099,0.0721951219512196,"Full nominal gain taxed",1897504.56616661
0.1,0.0731707317073174,"No capital gains tax",2593742.4601
0.1,0.0731707317073174,"50% discount",2269012.4065775
0.1,0.0731707317073174,"Inflation indexation",2036458.39794336
0.1,0.0731707317073174,"Full nominal gain taxed",1910420.353055
