"nominal_return","annual_real_return","treatment","tax_paid"
0,-0.0243902439024389,"Indexed gain taxed in sale year",0
0,-0.0243902439024389,"Indexed gain with income averaging",0
0,-0.0243902439024389,"50% discount in sale year",0
0.001,-0.0234146341463415,"Indexed gain taxed in sale year",0
0.001,-0.0234146341463415,"Indexed gain with income averaging",0
0.001,-0.0234146341463415,"50% discount in sale year",0
0.002,-0.0224390243902438,"Indexed gain taxed in sale year",0
0.002,-0.0224390243902438,"Indexed gain with income averaging",0
0.002,-0.0224390243902438,"50% discount in sale year",0
0.003,-0.0214634146341464,"Indexed gain taxed in sale year",0
0.003,-0.0214634146341464,"Indexed gain with income averaging",0
0.003,-0.0214634146341464,"50% discount in sale year",0
0.004,-0.0204878048780487,"Indexed gain taxed in sale year",0
0.004,-0.0204878048780487,"Indexed gain with income averaging",0
0.004,-0.0204878048780487,"50% discount in sale year",346.218721512808
0.005,-0.0195121951219512,"Indexed gain taxed in sale year",0
0.005,-0.0195121951219512,"Indexed gain with income averaging",0
0.005,-0.0195121951219512,"50% discount in sale year",1179.21056326317
0.006,-0.0185365853658536,"Indexed gain taxed in sale year",0
0.006,-0.0185365853658536,"Indexed gain with income averaging",0
0.006,-0.0185365853658536,"50% discount in sale year",2019.69553035069
0.007,-0.0175609756097561,"Indexed gain taxed in sale year",0
0.007,-0.0175609756097561,"Indexed gain with income averaging",0
0.007,-0.0175609756097561,"50% discount in sale year",2867.73347761346
0.008,-0.0165853658536584,"Indexed gain taxed in sale year",0
0.008,-0.0165853658536584,"Indexed gain with income averaging",0
0.008,-0.0165853658536584,"50% discount in sale year",3723.3846778271
0.009,-0.015609756097561,"Indexed gain taxed in sale year",0
0.009,-0.015609756097561,"Indexed gain with income averaging",0
0.009,-0.015609756097561,"50% discount in sale year",4848.08092037883
0.01,-0.0146341463414633,"Indexed gain taxed in sale year",0
0.01,-0.0146341463414633,"Indexed gain with income averaging",0
0.01,-0.0146341463414633,"50% discount in sale year",6481.31881168068
0.011,-0.0136585365853659,"Indexed gain taxed in sale year",0
0.011,-0.0136585365853659,"Indexed gain with income averaging",0
0.011,-0.0136585365853659,"50% discount in sale year",8129.175335384
0.012,-0.0126829268292682,"Indexed gain taxed in sale year",0
0.012,-0.0126829268292682,"Indexed gain with income averaging",0
0.012,-0.0126829268292682,"50% discount in sale year",9791.76668455598
0.013,-0.0117073170731707,"Indexed gain taxed in sale year",0
0.013,-0.0117073170731707,"Indexed gain with income averaging",0
0.013,-0.0117073170731707,"50% discount in sale year",11469.2098595547
0.014,-0.0107317073170731,"Indexed gain taxed in sale year",0
0.014,-0.0107317073170731,"Indexed gain with income averaging",0
0.014,-0.0107317073170731,"50% discount in sale year",13161.6226728351
0.015,-0.00975609756097562,"Indexed gain taxed in sale year",0
0.015,-0.00975609756097562,"Indexed gain with income averaging",0
0.015,-0.00975609756097562,"50% discount in sale year",14869.1237537723
0.016,-0.00878048780487795,"Indexed gain taxed in sale year",0
0.016,-0.00878048780487795,"Indexed gain with income averaging",0
0.016,-0.00878048780487795,"50% discount in sale year",16591.8325535161
0.017,-0.00780487804878049,"Indexed gain taxed in sale year",0
0.017,-0.00780487804878049,"Indexed gain with income averaging",0
0.017,-0.00780487804878049,"50% discount in sale year",18329.8693498612
0.018,-0.00682926829268282,"Indexed gain taxed in sale year",0
0.018,-0.00682926829268282,"Indexed gain with income averaging",0
0.018,-0.00682926829268282,"50% discount in sale year",20083.3552521501
0.019,-0.00585365853658537,"Indexed gain taxed in sale year",0
0.019,-0.00585365853658537,"Indexed gain with income averaging",0
0.019,-0.00585365853658537,"50% discount in sale year",21852.4122061921
0.02,-0.0048780487804877,"Indexed gain taxed in sale year",0
0.02,-0.0048780487804877,"Indexed gain with income averaging",0
0.02,-0.0048780487804877,"50% discount in sale year",23637.1629992136
0.021,-0.00390243902439025,"Indexed gain taxed in sale year",0
0.021,-0.00390243902439025,"Indexed gain with income averaging",0
0.021,-0.00390243902439025,"50% discount in sale year",25437.7312648265
0.022,-0.00292682926829257,"Indexed gain taxed in sale year",0
0.022,-0.00292682926829257,"Indexed gain with income averaging",0
0.022,-0.00292682926829257,"50% discount in sale year",27254.2414880273
0.023,-0.00195121951219512,"Indexed gain taxed in sale year",0
0.023,-0.00195121951219512,"Indexed gain with income averaging",0
0.023,-0.00195121951219512,"50% discount in sale year",29086.8190102139
0.024,-0.000975609756097451,"Indexed gain taxed in sale year",0
0.024,-0.000975609756097451,"Indexed gain with income averaging",0
0.024,-0.000975609756097451,"50% discount in sale year",30935.5900342345
0.025,0,"Indexed gain taxed in sale year",0
0.025,0,"Indexed gain with income averaging",0
0.025,0,"50% discount in sale year",33153.640676326
0.026,0.000975609756097562,"Indexed gain taxed in sale year",0
0.026,0.000975609756097562,"Indexed gain with income averaging",0
0.026,0.000975609756097562,"50% discount in sale year",35474.2068087818
0.027,0.00195121951219512,"Indexed gain taxed in sale year",1119.63471432596
0.027,0.00195121951219512,"Indexed gain with income averaging",0
0.027,0.00195121951219512,"50% discount in sale year",37815.2183147654
0.028,0.00292682926829269,"Indexed gain taxed in sale year",3162.11414553635
0.028,0.00292682926829269,"Indexed gain with income averaging",0
0.028,0.00292682926829269,"50% discount in sale year",40176.8351571024
0.029,0.00390243902439025,"Indexed gain taxed in sale year",6040.28818861886
0.029,0.00390243902439025,"Indexed gain with income averaging",0
0.029,0.00390243902439025,"50% discount in sale year",42559.2183926409
0.03,0.00487804878048781,"Indexed gain taxed in sale year",9937.55054432971
0.03,0.00487804878048781,"Indexed gain with income averaging",0
0.03,0.00487804878048781,"50% discount in sale year",44962.5301786626
0.031,0.00585365853658537,"Indexed gain taxed in sale year",13869.0158426879
0.031,0.00585365853658537,"Indexed gain with income averaging",0
0.031,0.00585365853658537,"50% discount in sale year",47386.9337793169
0.032,0.00682926829268293,"Indexed gain taxed in sale year",17834.9506417871
0.032,0.00682926829268293,"Indexed gain with income averaging",0
0.032,0.00682926829268293,"50% discount in sale year",49832.5935720947
0.033,0.00780487804878049,"Indexed gain taxed in sale year",21835.6233156757
0.033,0.00780487804878049,"Indexed gain with income averaging",0
0.033,0.00780487804878049,"50% discount in sale year",52442.739930937
0.034,0.00878048780487806,"Indexed gain taxed in sale year",25871.3040649573
0.034,0.00878048780487806,"Indexed gain with income averaging",0
0.034,0.00878048780487806,"50% discount in sale year",55469.5004928982
0.035,0.00975609756097562,"Indexed gain taxed in sale year",29942.2649274293
0.035,0.00975609756097562,"Indexed gain with income averaging",0
0.035,0.00975609756097562,"50% discount in sale year",58522.7211397522
0.036,0.0107317073170732,"Indexed gain taxed in sale year",34692.9617395035
0.036,0.0107317073170732,"Indexed gain with income averaging",0
0.036,0.0107317073170732,"50% discount in sale year",61602.6072857702
0.037,0.0117073170731707,"Indexed gain taxed in sale year",39801.8534184811
0.037,0.0117073170731707,"Indexed gain with income averaging",0
0.037,0.0117073170731707,"50% discount in sale year",64709.3657392025
0.038,0.0126829268292683,"Indexed gain taxed in sale year",44955.2775044258
0.038,0.0126829268292683,"Indexed gain with income averaging",0
0.038,0.0126829268292683,"50% discount in sale year",67843.2047103851
0.039,0.0136585365853659,"Indexed gain taxed in sale year",50153.5787066956
0.039,0.0136585365853659,"Indexed gain with income averaging",638.088089381868
0.039,0.0136585365853659,"50% discount in sale year",71004.3338198735
0.04,0.0146341463414634,"Indexed gain taxed in sale year",56209.8833248945
0.04,0.0146341463414634,"Indexed gain with income averaging",2905.55851551805
0.04,0.0146341463414634,"50% discount in sale year",74192.9641066275
0.041,0.015609756097561,"Indexed gain taxed in sale year",62642.571184088
0.041,0.015609756097561,"Indexed gain with income averaging",5192.73642100908
0.041,0.015609756097561,"50% discount in sale year",77409.3080362242
0.042,0.0165853658536586,"Indexed gain taxed in sale year",69131.1141298839
0.042,0.0165853658536586,"Indexed gain with income averaging",7499.7739128476
0.042,0.0165853658536586,"50% discount in sale year",80653.5795091222
0.043,0.0175609756097561,"Indexed gain taxed in sale year",75675.9428495459
0.043,0.0175609756097561,"Indexed gain with income averaging",9826.82412428297
0.043,0.0175609756097561,"50% discount in sale year",83925.9938689532
0.044,0.0185365853658537,"Indexed gain taxed in sale year",82277.4909333729
0.044,0.0185365853658537,"Indexed gain with income averaging",12174.0412207548
0.044,0.0185365853658537,"50% discount in sale year",87226.7679108666
0.045,0.0195121951219512,"Indexed gain taxed in sale year",88936.1948914427
0.045,0.0195121951219512,"Indexed gain with income averaging",14541.5804058463
0.045,0.0195121951219512,"50% discount in sale year",90556.1198899016
0.046,0.0204878048780488,"Indexed gain taxed in sale year",95652.4941704615
0.046,0.0204878048780488,"Indexed gain with income averaging",16929.5979272752
0.046,0.0204878048780488,"50% discount in sale year",93914.269529411
0.047,0.0214634146341464,"Indexed gain taxed in sale year",102426.831170668
0.047,0.0214634146341464,"Indexed gain with income averaging",19338.2510829043
0.047,0.0214634146341464,"50% discount in sale year",97301.4380295144
0.048,0.0224390243902439,"Indexed gain taxed in sale year",109259.651262847
0.048,0.0224390243902439,"Indexed gain with income averaging",21767.6982267899
0.048,0.0224390243902439,"50% discount in sale year",100717.848075604
0.049,0.0234146341463415,"Indexed gain taxed in sale year",116151.402805393
0.049,0.0234146341463415,"Indexed gain with income averaging",24218.0987752508
0.049,0.0234146341463415,"50% discount in sale year",104163.723846877
0.05,0.024390243902439,"Indexed gain taxed in sale year",123102.537161488
0.05,0.024390243902439,"Indexed gain with income averaging",26689.6132129737
0.05,0.024390243902439,"50% discount in sale year",107639.291024924
0.051,0.0253658536585366,"Indexed gain taxed in sale year",130113.508716335
0.051,0.0253658536585366,"Indexed gain with income averaging",29182.4030991412
0.051,0.0253658536585366,"50% discount in sale year",111144.776802347
0.052,0.0263414634146342,"Indexed gain taxed in sale year",137184.774894488
0.052,0.0263414634146342,"Indexed gain with income averaging",31696.6310735957
0.052,0.0263414634146342,"50% discount in sale year",114680.409891424
0.053,0.0273170731707317,"Indexed gain taxed in sale year",144316.79617726
