"nominal_return","annual_real_return","treatment","tax_paid"
0.093,0.0663414634146342,"Inflation indexation",345974.660435272
0.093,0.0663414634146342,"Full nominal gain taxed",430000.023694179
0.094,0.067317073170732,"50% discount",218353.227115715
0.094,0.067317073170732,"Inflation indexation",352681.090972523
0.094,0.067317073170732,"Full nominal gain taxed",436706.45423143
0.095,0.0682926829268293,"50% discount",221734.142018797
0.095,0.0682926829268293,"Inflation indexation",359442.920778687
0.095,0.0682926829268293,"Full nominal gain taxed",443468.284037594
0.096,0.0692682926829271,"50% discount",225142.959762099
0.096,0.0692682926829271,"Inflation indexation",366260.556265291
0.096,0.0692682926829271,"Full nominal gain taxed",450285.919524198
0.097,0.0702439024390245,"50% discount",228579.884854575
0.097,0.0702439024390245,"Inflation indexation",373134.406450243
0.097,0.0702439024390245,"Full nominal gain taxed",457159.76970915
0.098,0.0712195121951222,"50% discount",232045.123115529
0.098,0.0712195121951222,"Inflation indexation",380064.882972152
0.098,0.0712195121951222,"Full nominal gain taxed",464090.246231059
0.099,0.0721951219512196,"50% discount",235538.881681803
0.099,0.0721951219512196,"Inflation indexation",387052.400104699
0.099,0.0721951219512196,"Full nominal gain taxed",471077.763363606
0.1,0.0731707317073174,"50% discount",239061.369015
0.1,0.0731707317073174,"Inflation indexation",394097.374771094
0.1,0.0731707317073174,"Full nominal gain taxed",478122.738030001
