"nominal_return","annual_real_return","treatment","tax_as_share_real_gain"
0.019,-0.00585365853658537,"Inflation indexation",NA
0.019,-0.00585365853658537,"Full nominal gain taxed",NA
0.02,-0.0048780487804877,"50% discount",NA
0.02,-0.0048780487804877,"Inflation indexation",NA
0.02,-0.0048780487804877,"Full nominal gain taxed",NA
0.021,-0.00390243902439025,"50% discount",NA
0.021,-0.00390243902439025,"Inflation indexation",NA
0.021,-0.00390243902439025,"Full nominal gain taxed",NA
0.022,-0.00292682926829257,"50% discount",NA
0.022,-0.00292682926829257,"Inflation indexation",NA
0.022,-0.00292682926829257,"Full nominal gain taxed",NA
0.023,-0.00195121951219512,"50% discount",NA
0.023,-0.00195121951219512,"Inflation indexation",NA
0.023,-0.00195121951219512,"Full nominal gain taxed",NA
0.024,-0.000975609756097451,"50% discount",NA
0.024,-0.000975609756097451,"Inflation indexation",NA
0.024,-0.000975609756097451,"Full nominal gain taxed",NA
0.025,0,"50% discount",NA
0.025,0,"Inflation indexation",NA
0.025,0,"Full nominal gain taxed",NA
0.026,0.000975609756097562,"50% discount",3.4993318689537
0.026,0.000975609756097562,"Inflation indexation",0.3
0.026,0.000975609756097562,"Full nominal gain taxed",6.9986637379074
0.027,0.00195121951219512,"50% discount",1.81732095961635
0.027,0.00195121951219512,"Inflation indexation",0.3
0.027,0.00195121951219512,"Full nominal gain taxed",3.6346419192327
0.028,0.00292682926829269,"50% discount",1.25666821525775
0.028,0.00292682926829269,"Inflation indexation",0.3
0.028,0.00292682926829269,"Full nominal gain taxed",2.5133364305155
0.029,0.00390243902439025,"50% discount",0.976354992311311
0.029,0.00390243902439025,"Inflation indexation",0.3
0.029,0.00390243902439025,"Full nominal gain taxed",1.95270998462262
0.03,0.00487804878048781,"50% discount",0.808177561904611
0.03,0.00487804878048781,"Inflation indexation",0.3
0.03,0.00487804878048781,"Full nominal gain taxed",1.61635512380922
0.031,0.00585365853658537,"50% discount",0.696068014282349
0.031,0.00585365853658537,"Inflation indexation",0.3
0.031,0.00585365853658537,"Full nominal gain taxed",1.3921360285647
0.032,0.00682926829268293,"50% discount",0.615997245152042
0.032,0.00682926829268293,"Inflation indexation",0.3
0.032,0.00682926829268293,"Full nominal gain taxed",1.23199449030408
0.033,0.00780487804878049,"50% discount",0.555950702270743
0.033,0.00780487804878049,"Inflation indexation",0.3
0.033,0.00780487804878049,"Full nominal gain taxed",1.11190140454149
0.034,0.00878048780487806,"50% discount",0.509253634307074
0.034,0.00878048780487806,"Inflation indexation",0.3
0.034,0.00878048780487806,"Full nominal gain taxed",1.01850726861415
0.035,0.00975609756097562,"50% discount",0.471901190386198
0.035,0.00975609756097562,"Inflation indexation",0.3
0.035,0.00975609756097562,"Full nominal gain taxed",0.943802380772395
0.036,0.0107317073170732,"50% discount",0.441344828973772
0.036,0.0107317073170732,"Inflation indexation",0.3
0.036,0.0107317073170732,"Full nominal gain taxed",0.882689657947544
0.037,0.0117073170731707,"50% discount",0.415885522318033
0.037,0.0117073170731707,"Inflation indexation",0.3
0.037,0.0117073170731707,"Full nominal gain taxed",0.831771044636067
0.038,0.0126829268292683,"50% discount",0.394347020380059
0.038,0.0126829268292683,"Inflation indexation",0.3
0.038,0.0126829268292683,"Full nominal gain taxed",0.788694040760117
0.039,0.0136585365853659,"50% discount",0.375889144508282
0.039,0.0136585365853659,"Inflation indexation",0.3
0.039,0.0136585365853659,"Full nominal gain taxed",0.751778289016564
0.04,0.0146341463414634,"50% discount",0.359895763643135
0.04,0.0146341463414634,"Inflation indexation",0.3
0.04,0.0146341463414634,"Full nominal gain taxed",0.719791527286269
0.041,0.015609756097561,"50% discount",0.34590477944501
0.041,0.015609756097561,"Inflation indexation",0.3
0.041,0.015609756097561,"Full nominal gain taxed",0.691809558890021
0.042,0.0165853658536586,"50% discount",0.333562822553479
0.042,0.0165853658536586,"Inflation indexation",0.3
0.042,0.0165853658536586,"Full nominal gain taxed",0.667125645106958
0.043,0.0175609756097561,"50% discount",0.32259505009348
0.043,0.0175609756097561,"Inflation indexation",0.3
0.043,0.0175609756097561,"Full nominal gain taxed",0.645190100186959
0.044,0.0185365853658537,"50% discount",0.312784480811096
0.044,0.0185365853658537,"Inflation indexation",0.3
0.044,0.0185365853658537,"Full nominal gain taxed",0.625568961622192
0.045,0.0195121951219512,"50% discount",0.303957529668635
0.045,0.0195121951219512,"Inflation indexation",0.3
0.045,0.0195121951219512,"Full nominal gain taxed",0.607915059337269
0.046,0.0204878048780488,"50% discount",0.295973675412508
0.046,0.0204878048780488,"Inflation indexation",0.3
0.046,0.0204878048780488,"Full nominal gain taxed",0.591947350825015
0.047,0.0214634146341464,"50% discount",0.288717946077176
0.047,0.0214634146341464,"Inflation indexation",0.3
0.047,0.0214634146341464,"Full nominal gain taxed",0.577435892154351
0.048,0.0224390243902439,"50% discount",0.282095364792384
0.048,0.0224390243902439,"Inflation indexation",0.3
0.048,0.0224390243902439,"Full nominal gain taxed",0.564190729584767
0.049,0.0234146341463415,"50% discount",0.276026784138613
0.049,0.0234146341463415,"Inflation indexation",0.3
0.049,0.0234146341463415,"Full nominal gain taxed",0.552053568277226
0.05,0.024390243902439,"50% discount",0.270445720257204
0.05,0.024390243902439,"Inflation indexation",0.3
0.05,0.024390243902439,"Full nominal gain taxed",0.540891440514407
0.051,0.0253658536585366,"50% discount",0.265295917550465
0.051,0.0253658536585366,"Inflation indexation",0.3
0.051,0.0253658536585366,"Full nominal gain taxed",0.53059183510093
0.052,0.0263414634146342,"50% discount",0.260529454559528
0.052,0.0263414634146342,"Inflation indexation",0.3
0.052,0.0263414634146342,"Full nominal gain taxed",0.521058909119055
0.053,0.0273170731707317,"50% discount",0.256105255725523
0.053,0.0273170731707317,"Inflation indexation",0.3
0.053,0.0273170731707317,"Full nominal gain taxed",0.512210511451047
0.054,0.0282926829268293,"50% discount",0.251987911062234
0.054,0.0282926829268293,"Inflation indexation",0.3
0.054,0.0282926829268293,"Full nominal gain taxed",0.503975822124467
0.055,0.0292682926829269,"50% discount",0.248146731894221
0.055,0.0292682926829269,"Inflation indexation",0.3
0.055,0.0292682926829269,"Full nominal gain taxed",0.496293463788442
0.056,0.0302439024390244,"50% discount",0.24455498935531
0.056,0.0302439024390244,"Inflation indexation",0.3
0.056,0.0302439024390244,"Full nominal gain taxed",0.48910997871062
0.057,0.031219512195122,"50% discount",0.241189295668614
0.057,0.031219512195122,"Inflation indexation",0.3
0.057,0.031219512195122,"Full nominal gain taxed",0.482378591337228
0.058,0.0321951219512198,"50% discount",0.238029097921092
0.058,0.0321951219512198,"Inflation indexation",0.3
0.058,0.0321951219512198,"Full nominal gain taxed",0.476058195842183
0.059,0.0331707317073171,"50% discount",0.235056261172017
0.059,0.0331707317073171,"Inflation indexation",0.3
0.059,0.0331707317073171,"Full nominal gain taxed",0.470112522344034
0.06,0.0341463414634149,"50% discount",0.232254723028556
0.06,0.0341463414634149,"Inflation indexation",0.3
0.06,0.0341463414634149,"Full nominal gain taxed",0.464509446057112
0.061,0.0351219512195122,"50% discount",0.229610205792094
0.061,0.0351219512195122,"Inflation indexation",0.3
0.061,0.0351219512195122,"Full nominal gain taxed",0.459220411584187
0.062,0.03609756097561,"50% discount",0.227109975283521
0.062,0.03609756097561,"Inflation indexation",0.3
0.062,0.03609756097561,"Full nominal gain taxed",0.454219950567042
0.063,0.0370731707317074,"50% discount",0.224742637748754
0.063,0.0370731707317074,"Inflation indexation",0.3
0.063,0.0370731707317074,"Full nominal gain taxed",0.449485275497508
0.064,0.0380487804878051,"50% discount",0.222497968009544
0.064,0.0380487804878051,"Inflation indexation",0.3
0.064,0.0380487804878051,"Full nominal gain taxed",0.444995936019087
0.065,0.0390243902439025,"50% discount",0.220366763391677
0.065,0.0390243902439025,"Inflation indexation",0.3
0.065,0.0390243902439025,"Full nominal gain taxed",0.440733526783354
0.066,0.0400000000000003,"50% discount",0.218340719029527
0.066,0.0400000000000003,"Inflation indexation",0.3
0.066,0.0400000000000003,"Full nominal gain taxed",0.436681438059054
0.067,0.0409756097560976,"50% discount",0.216412320984249
0.067,0.0409756097560976,"Inflation indexation",0.3
0.067,0.0409756097560976,"Full nominal gain taxed",0.432824641968499
0.068,0.0419512195121954,"50% discount",0.214574754275708
0.068,0.0419512195121954,"Inflation indexation",0.3
0.068,0.0419512195121954,"Full nominal gain taxed",0.429149508551415
0.069,0.0429268292682927,"50% discount",0.21282182345551
0.069,0.0429268292682927,"Inflation indexation",0.3
0.069,0.0429268292682927,"Full nominal gain taxed",0.42564364691102
0.07,0.0439024390243905,"50% discount",0.211147883770299
0.07,0.0439024390243905,"Inflation indexation",0.3
0.07,0.0439024390243905,"Full nominal gain taxed",0.422295767540598
0.071,0.0448780487804878,"50% discount",0.20954778130375
0.071,0.0448780487804878,"Inflation indexation",0.3
0.071,0.0448780487804878,"Full nominal gain taxed",0.4190955626075
0.072,0.0458536585365856,"50% discount",0.208016800760008
0.072,0.0458536585365856,"Inflation indexation",0.3
0.072,0.0458536585365856,"Full nominal gain taxed",0.416033601520016
0.073,0.046829268292683,"50% discount",0.206550619774203
0.073,0.046829268292683,"Inflation indexation",0.3
0.073,0.046829268292683,"Full nominal gain taxed",0.413101239548405
0.074,0.0478048780487808,"50% discount",0.205145268817589
0.074,0.0478048780487808,"Inflation indexation",0.3
0.074,0.0478048780487808,"Full nominal gain taxed",0.410290537635179
0.075,0.0487804878048781,"50% discount",0.203797095914074
0.075,0.0487804878048781,"Inflation indexation",0.3
0.075,0.0487804878048781,"Full nominal gain taxed",0.407594191828148
0.076,0.0497560975609759,"50% discount",0.202502735507734
0.076,0.0497560975609759,"Inflation indexation",0.3
0.076,0.0497560975609759,"Full nominal gain taxed",0.405005471015468
0.077,0.0507317073170732,"50% discount",0.201259080922551
0.077,0.0507317073170732,"Inflation indexation",0.3
0.077,0.0507317073170732,"Full nominal gain taxed",0.402518161845102
0.078,0.051707317073171,"50% discount",0.200063259939905
0.078,0.051707317073171,"Inflation indexation",0.3
0.078,0.051707317073171,"Full nominal gain taxed",0.400126519879811
0.079,0.0526829268292683,"50% discount",0.198912613089686
0.079,0.0526829268292683,"Inflation indexation",0.3
0.079,0.0526829268292683,"Full nominal gain taxed",0.397825226179372
0.08,0.0536585365853661,"50% discount",0.197804674309638
0.08,0.0536585365853661,"Inflation indexation",0.3
0.08,0.0536585365853661,"Full nominal gain taxed",0.395609348619276
0.081,0.0546341463414635,"50% discount",0.196737153676929
0.081,0.0546341463414635,"Inflation indexation",0.3
0.081,0.0546341463414635,"Full nominal gain taxed",0.393474307353857
0.082,0.0556097560975612,"50% discount",0.195707921957437
0.082,0.0556097560975612,"Inflation indexation",0.3
0.082,0.0556097560975612,"Full nominal gain taxed",0.391415843914874
0.083,0.0565853658536586,"50% discount",0.194714996753397
0.083,0.0565853658536586,"Inflation indexation",0.3
0.083,0.0565853658536586,"Full nominal gain taxed",0.389429993506795
0.084,0.0575609756097564,"50% discount",0.193756530059753
0.084,0.0575609756097564,"Inflation indexation",0.3
0.084,0.0575609756097564,"Full nominal gain taxed",0.387513060119506
0.085,0.0585365853658537,"50% discount",0.192830797064878
0.085,0.0585365853658537,"Inflation indexation",0.3
0.085,0.0585365853658537,"Full nominal gain taxed",0.385661594129755
0.086,0.0595121951219515,"50% discount",0.191936186052861
0.086,0.0595121951219515,"Inflation indexation",0.3
0.086,0.0595121951219515,"Full nominal gain taxed",0.383872372105722
0.087,0.0604878048780488,"50% discount",0.191071189282998
0.087,0.0604878048780488,"Inflation indexation",0.3
0.087,0.0604878048780488,"Full nominal gain taxed",0.382142378565995
0.088,0.0614634146341466,"50% discount",0.190234394737889
0.088,0.0614634146341466,"Inflation indexation",0.3
0.088,0.0614634146341466,"Full nominal gain taxed",0.380468789475778
0.089,0.062439024390244,"50% discount",0.189424478645166
0.089,0.062439024390244,"Inflation indexation",0.3
0.089,0.062439024390244,"Full nominal gain taxed",0.378848957290333
0.09,0.0634146341463417,"50% discount",0.188640198689513
0.09,0.0634146341463417,"Inflation indexation",0.3
0.09,0.0634146341463417,"Full nominal gain taxed",0.377280397379027
0.091,0.0643902439024391,"50% discount",0.187880387841776
0.091,0.0643902439024391,"Inflation indexation",0.3
0.091,0.0643902439024391,"Full nominal gain taxed",0.375760775683553
0.092,0.0653658536585369,"50% discount",0.187143948740694
0.092,0.0653658536585369,"Inflation indexation",0.3
0.092,0.0653658536585369,"Full nominal gain taxed",0.374287897481387
0.093,0.0663414634146342,"50% discount",0.186429848570352
0.093,0.0663414634146342,"Inflation indexation",0.3
0.093,0.0663414634146342,"Full nominal gain taxed",0.372859697140705
0.094,0.067317073170732,"50% discount",0.185737114383084
0.094,0.067317073170732,"Inflation indexation",0.3
0.094,0.067317073170732,"Full nominal gain taxed",0.371474228766169
0.095,0.0682926829268293,"50% discount",0.185064828823257
0.095,0.0682926829268293,"Inflation indexation",0.3
0.095,0.0682926829268293,"Full nominal gain taxed",0.370129657646513
0.096,0.0692682926829271,"50% discount",0.18441212621243
0.096,0.0692682926829271,"Inflation indexation",0.3
0.096,0.0692682926829271,"Full nominal gain taxed",0.36882425242486
0.097,0.0702439024390245,"50% discount",0.183778188960757
0.097,0.0702439024390245,"Inflation indexation",0.3
0.097,0.0702439024390245,"Full nominal gain taxed",0.367556377921513
0.098,0.0712195121951222,"50% discount",0.183162244273327
0.098,0.0712195121951222,"Inflation indexation",0.3
0.098,0.0712195121951222,"Full nominal gain taxed",0.366324488546655
0.099,0.0721951219512196,"50% discount",0.182563561123576
0.099,0.0721951219512196,"Inflation indexation",0.3
0.099,0.0721951219512196,"Full nominal gain taxed",0.365127122247151
0.1,0.0731707317073174,"50% discount",0.181981447468806
0.1,0.0731707317073174,"Inflation indexation",0.3
0.1,0.0731707317073174,"Full nominal gain taxed",0.363962894937612
