,nz,pre_income,grs_pay_1819,grs_pay_1920,grs_pay_2021,grs_pay_2122,variable
1,0,40384.46677,54552.1344,46500.05354,48988.69291,58787.23486,mean
4,1,40394.7243,54490.54811,48803.93473,55420.09734,64089.12862,mean
