,nz,pre_income,grs_pay_1819,grs_pay_1920,grs_pay_2021,grs_pay_2122,variable
1,0,41543.10649,52372.77711,46210.27283,48241.17336,57169.46414,mean
4,1,40394.7243,54490.54811,48803.93473,55420.09734,64089.12862,mean
