,nz,pre_income,grs_pay_1819,grs_pay_1920,grs_pay_2021,grs_pay_2122,variable
1,0,31807.84799,41597.53613,32730.70921,33094.44759,46614.80147,mean
4,1,36727.05398,48562.22391,44847.67303,52804.59091,61318.63016,mean
