"","date","Aus","NZ","NZ_pre","AUS_pre","NZ_post","AUS_post"
"1",2020-01-30,0.0804764024933215,0.0861817423926636,0.100230573615261,0.0868572397449108,NA,NA
"2",2020-02-06,0.0933033202025886,0.115143130786421,0.100230573615261,0.0868572397449108,NA,NA
"3",2020-02-13,0.0826531785262674,0.0896751223854028,0.100230573615261,0.0868572397449108,NA,NA
"4",2020-02-20,0.0898643989887382,0.0900596645277496,0.100230573615261,0.0868572397449108,NA,NA
"5",2020-02-27,0.0823174271450133,0.0902333028362306,0.100230573615261,0.0868572397449108,NA,NA
"6",2020-03-05,0.090028024287716,0.116589861751152,0.100230573615261,0.0868572397449108,NA,NA
"7",2020-03-12,0.0774299835255354,0.0868783702816057,0.100230573615261,0.0868572397449108,NA,NA
"8",2020-03-19,0.0672966121226089,0.0885261527463362,0.100230573615261,0.0868572397449108,0.0860453984256513,0.0533982703589381
"9",2020-03-26,0.0666892349356804,0.0927710843373494,NA,NA,0.0860453984256513,0.0533982703589381
"10",2020-04-02,0.057784911717496,0.0984289454891693,NA,NA,0.0860453984256513,0.0533982703589381
"11",2020-04-09,0.0389018147975803,0.0641964185155986,NA,NA,0.0860453984256513,0.0533982703589381
"12",2020-04-16,0.0394852529773799,0.0703594338662051,NA,NA,0.0860453984256513,0.0533982703589381
"13",2020-04-23,0.0449429883014956,0.0723801948697554,NA,NA,0.0860453984256513,0.0533982703589381
"14",2020-04-30,0.0446454206144129,0.0713504919010235,NA,NA,0.0860453984256513,0.0533982703589381
"15",2020-05-07,0.0513659647125783,0.0863439669920499,NA,NA,0.0860453984256513,0.0533982703589381
"16",2020-05-14,0.0426012131471294,0.0755790329134498,NA,NA,0.0860453984256513,0.0533982703589381
"17",2020-05-21,0.0414642731432594,0.0644222776392352,NA,NA,0.0860453984256513,0.0533982703589381
"18",2020-05-28,0.049336795564601,0.0768827354730438,NA,NA,0.0860453984256513,0.0533982703589381
"19",2020-06-04,0.0710641915828256,0.106807511737089,NA,NA,0.0860453984256513,0.0533982703589381
"20",2020-06-11,0.0584529739232347,0.0804974561899378,NA,NA,0.0860453984256513,0.0533982703589381
"21",2020-06-18,0.0547282204020849,0.0821917808219178,NA,NA,0.0860453984256513,0.0533982703589381
"22",2020-06-25,0.0652272043334336,0.110520722635494,NA,NA,0.0860453984256513,0.0533982703589381
"23",2020-07-02,0.0766807529773338,0.145076452599388,NA,NA,0.0860453984256513,0.0533982703589381
"24",2020-07-09,0.0524564183835182,0.0841733211153292,NA,NA,0.0860453984256513,0.0533982703589381
"25",2020-07-16,0.0519429645879035,0.0807899461400359,NA,NA,0.0860453984256513,0.0533982703589381
