percentile,fy,percentile_label,fy_sort,base_etr,scenario,etr,etr_change_pp
0.023,FY2034_35,2.3,2034,0,Baseline,0,0
0.023,FY2034_35,2.3,2034,0,High inflation,0,0
0.023,FY2034_35,2.3,2034,0,No policy change,0,0
0.023,FY2034_35,2.3,2034,0,Indexed brackets,0,0
0.024,FY2034_35,2.4,2034,0,Baseline,0,0
0.024,FY2034_35,2.4,2034,0,High inflation,0,0
0.024,FY2034_35,2.4,2034,0,No policy change,0,0
0.024,FY2034_35,2.4,2034,0,Indexed brackets,0,0
0.025,FY2034_35,2.5,2034,0,Baseline,0,0
0.025,FY2034_35,2.5,2034,0,High inflation,0,0
0.025,FY2034_35,2.5,2034,0,No policy change,0,0
0.025,FY2034_35,2.5,2034,0,Indexed brackets,0,0
0.026,FY2034_35,2.6,2034,0,Baseline,0,0
0.026,FY2034_35,2.6,2034,0,High inflation,0,0
0.026,FY2034_35,2.6,2034,0,No policy change,0,0
0.026,FY2034_35,2.6,2034,0,Indexed brackets,0,0
0.027,FY2034_35,2.7,2034,0,Baseline,0,0
0.027,FY2034_35,2.7,2034,0,High inflation,0,0
0.027,FY2034_35,2.7,2034,0,No policy change,0,0
0.027,FY2034_35,2.7,2034,0,Indexed brackets,0,0
0.028,FY2034_35,2.8000000000000003,2034,0,Baseline,0,0
0.028,FY2034_35,2.8000000000000003,2034,0,High inflation,0,0
0.028,FY2034_35,2.8000000000000003,2034,0,No policy change,0,0
0.028,FY2034_35,2.8000000000000003,2034,0,Indexed brackets,0,0
0.029,FY2034_35,2.9000000000000004,2034,0,Baseline,0,0
0.029,FY2034_35,2.9000000000000004,2034,0,High inflation,0,0
0.029,FY2034_35,2.9000000000000004,2034,0,No policy change,0,0
0.029,FY2034_35,2.9000000000000004,2034,0,Indexed brackets,0,0
0.03,FY2034_35,3,2034,0,Baseline,0,0
0.03,FY2034_35,3,2034,0,High inflation,0,0
0.03,FY2034_35,3,2034,0,No policy change,0,0
0.03,FY2034_35,3,2034,0,Indexed brackets,0,0
0.031,FY2034_35,3.1,2034,0,Baseline,0,0
0.031,FY2034_35,3.1,2034,0,High inflation,0,0
0.031,FY2034_35,3.1,2034,0,No policy change,0,0
0.031,FY2034_35,3.1,2034,0,Indexed brackets,0,0
0.032,FY2034_35,3.2,2034,0,Baseline,0,0
0.032,FY2034_35,3.2,2034,0,High inflation,0,0
0.032,FY2034_35,3.2,2034,0,No policy change,0,0
0.032,FY2034_35,3.2,2034,0,Indexed brackets,0,0
0.033,FY2034_35,3.3000000000000003,2034,0,Baseline,0,0
0.033,FY2034_35,3.3000000000000003,2034,0,High inflation,0,0
0.033,FY2034_35,3.3000000000000003,2034,0,No policy change,0,0
0.033,FY2034_35,3.3000000000000003,2034,0,Indexed brackets,0,0
0.034,FY2034_35,3.4000000000000004,2034,0,Baseline,0,0
0.034,FY2034_35,3.4000000000000004,2034,0,High inflation,0,0
