percentile,base_etr,final_baseline_etr,final_indexed_etr,percentile_label,after_tax_gain_baseline,after_tax_gain_indexed,income_gain_clawback
0.001,0,0,0,0.1,0.11333179634094859,0.11333179634094859,0
0.002,0,0,0,0.2,0.11333179634094859,0.11333179634094859,0
0.003,0,0,0,0.3,0.11333179634094859,0.11333179634094859,0
0.004,0,0,0,0.4,0.11333179634094859,0.11333179634094859,0
0.005,0,0,0,0.5,0.11333179634094859,0.11333179634094859,0
0.006,0,0,0,0.6,0.11333179634094859,0.11333179634094859,0
0.007,0,0,0,0.7000000000000001,0.11333179634094859,0.11333179634094859,0
0.008,0,0,0,0.8,0.11333179634094859,0.11333179634094859,0
0.009,0,0,0,0.8999999999999999,0.11333179634094859,0.11333179634094859,0
0.01,0,0,0,1,0.11333179634094859,0.11333179634094859,0
0.011,0,0,0,1.0999999999999999,0.11333179634094859,0.11333179634094859,0
0.012,0,0,0,1.2,0.11333179634094859,0.11333179634094859,0
0.013,0,0,0,1.3,0.11333179634094859,0.11333179634094859,0
0.014,0,0,0,1.4000000000000001,0.11333179634094859,0.11333179634094859,0
0.015,0,0,0,1.5,0.11333179634094859,0.11333179634094859,0
0.016,0,0,0,1.6,0.11333179634094859,0.11333179634094859,0
0.017,0,0,0,1.7000000000000002,0.11333179634094859,0.11333179634094859,0
0.018,0,0,0,1.7999999999999998,0.11333179634094859,0.11333179634094859,0
0.019,0,0,0,1.9,0.11333179634094859,0.11333179634094859,0
0.02,0,0,0,2,0.11333179634094859,0.11333179634094859,0
0.021,0,0,0,2.1,0.11333179634094859,0.11333179634094859,0
0.022,0,0,0,2.1999999999999997,0.11333179634094859,0.11333179634094859,0
0.023,0,0,0,2.3,0.11333179634094859,0.11333179634094859,0
0.024,0,0,0,2.4,0.11333179634094859,0.11333179634094859,0
0.025,0,0,0,2.5,0.11333179634094859,0.11333179634094859,0
0.026,0,0,0,2.6,0.11333179634094859,0.11333179634094859,0
0.027,0,0,0,2.7,0.11333179634094859,0.11333179634094859,0
0.028,0,0,0,2.8000000000000003,0.11333179634094859,0.11333179634094859,0
0.029,0,0,0,2.9000000000000004,0.11333179634094859,0.11333179634094859,0
0.03,0,0,0,3,0.11333179634094859,0.11333179634094859,0
0.031,0,0,0,3.1,0.11333179634094859,0.11333179634094859,0
0.032,0,0,0,3.2,0.11333179634094859,0.11333179634094859,0
0.033,0,0,0,3.3000000000000003,0.11333179634094859,0.11333179634094859,0
0.034,0,0,0,3.4000000000000004,0.11333179634094859,0.11333179634094859,0
0.035,0,0,0,3.5000000000000004,0.11333179634094859,0.11333179634094859,0
0.036,0,0,0,3.5999999999999996,0.11333179634094859,0.11333179634094859,0
0.037,0,0,0,3.6999999999999997,0.11333179634094859,0.11333179634094859,0
0.038,0,0,0,3.8,0.11333179634094859,0.11333179634094859,0
0.039,0,0,0,3.9,0.11333179634094859,0.11333179634094859,0
0.04,0,0,0,4,0.11333179634094859,0.11333179634094859,0
0.041,0,0,0,4.1000000000000005,0.11333179634094859,0.11333179634094859,0
0.042,0,0,0,4.2,0.11333179634094859,0.11333179634094859,0
0.043,0,0,0,4.3,0.11333179634094859,0.11333179634094859,0
0.044,0,0,0,4.3999999999999995,0.11333179634094859,0.11333179634094859,0
0.045,0,0,0,4.5,0.11333179634094859,0.11333179634094859,0
0.046,0,0,0,4.6,0.11333179634094859,0.11333179634094859,0
0.047,0,0,0,4.7,0.11333179634094859,0.11333179634094859,0
0.048,0,0,0,4.8,0.11333179634094859,0.11333179634094859,0
0.049,0,0,0,4.9,0.11333179634094859,0.11333179634094859,0
0.05,0,0,0,5,0.11333179634094859,0.11333179634094859,0
0.051,0,0,0,5.1,0.11333179634094859,0.11333179634094859,0
0.052,0,0,0,5.2,0.11333179634094859,0.11333179634094859,0
0.053,0,0,0,5.3,0.11333179634094859,0.11333179634094859,0
0.054,0,0,0,5.4,0.11333179634094859,0.11333179634094859,0
0.055,0,0,0,5.5,0.11333179634094859,0.11333179634094859,0
0.056,0,0,0,5.6000000000000005,0.11333179634094859,0.11333179634094859,0
0.057,0,0,0,5.7,0.11333179634094859,0.11333179634094859,0
0.058,0,0,0,5.800000000000001,0.11333179634094859,0.11333179634094859,0
0.059,0,0,0,5.8999999999999995,0.11333179634094859,0.11333179634094859,0
0.06,0,0,0,6,0.11333179634094859,0.11333179634094859,0
0.061,0,0,0,6.1,0.11333179634094859,0.11333179634094859,0
0.062,0,0,0,6.2,0.11333179634094859,0.11333179634094859,0
0.063,0,0,0,6.3,0.11333179634094859,0.11333179634094859,0
0.064,0,0,0,6.4,0.11333179634094859,0.11333179634094859,0
0.065,0,0,0,6.5,0.11333179634094859,0.11333179634094859,0
0.066,0,0,0,6.6000000000000005,0.11333179634094859,0.11333179634094859,0
0.067,0,0,0,6.7,0.11333179634094859,0.11333179634094859,0
0.068,0,0,0,6.800000000000001,0.11333179634094859,0.11333179634094859,0
0.069,0,0,0,6.9,0.11333179634094859,0.11333179634094859,0
0.07,0,0,0,7.000000000000001,0.11333179634094859,0.11333179634094859,0
0.071,0,0,0,7.1,0.11333179634094859,0.11333179634094859,0
0.072,0,0,0,7.199999999999999,0.11333179634094859,0.11333179634094859,0
0.073,0,0,0,7.3,0.11333179634094859,0.11333179634094859,0
0.074,0,0,0,7.3999999999999995,0.11333179634094859,0.11333179634094859,0
0.075,0,0,0,7.5,0.11333179634094859,0.11333179634094859,0
0.076,0,0,0,7.6,0.11333179634094859,0.11333179634094859,0
0.077,0,0,0,7.7,0.11333179634094859,0.11333179634094859,0
0.078,0,0,0,7.8,0.11333179634094859,0.11333179634094859,0
0.079,0,0,0,7.9,0.11333179634094859,0.11333179634094859,0
0.08,0,0,0,8,0.11333179634094859,0.11333179634094859,0
0.081,0,0,0,8.1,0.11333179634094859,0.11333179634094859,0
0.082,0,0,0,8.200000000000001,0.11333179634094859,0.11333179634094859,0
0.083,0,0,0,8.3,0.11333179634094859,0.11333179634094859,0
0.084,0,0,0,8.4,0.11333179634094859,0.11333179634094859,0
0.085,0,0,0,8.5,0.11333179634094859,0.11333179634094859,0
0.086,0,0,0,8.6,0.11333179634094859,0.11333179634094859,0
0.087,0,0,0,8.7,0.11333179634094859,0.11333179634094859,0
0.088,0,0,0,8.799999999999999,0.11333179634094859,0.11333179634094859,0
0.089,0,0,0,8.9,0.11333179634094859,0.11333179634094859,0
0.09,0,0,0,9,0.11333179634094859,0.11333179634094859,0
0.091,0,0,0,9.1,0.11333179634094859,0.11333179634094859,0
0.092,0,0,0,9.2,0.11333179634094859,0.11333179634094859,0
0.093,0,0,0,9.3,0.11333179634094859,0.11333179634094859,0
0.094,0,0,0,9.4,0.11333179634094859,0.11333179634094859,0
0.095,0,0,0,9.5,0.11333179634094859,0.11333179634094859,0
0.096,0,0,0,9.6,0.11333179634094859,0.11333179634094859,0
0.097,0,0,0,9.700000000000001,0.11333179634094859,0.11333179634094859,0
0.098,0,0,0,9.8,0.11333179634094859,0.11333179634094859,0
0.099,0,0,0,9.9,0.11333179634094859,0.11333179634094859,0
0.1,0,0,0,10,0.11333179634094859,0.11333179634094859,0
0.101,0,0,0,10.100000000000001,0.11333179634094859,0.11333179634094859,0
0.102,0,0,0,10.2,0.11333179634094859,0.11333179634094859,0
0.103,0,0,0,10.299999999999999,0.11333179634094859,0.11333179634094859,0
0.104,0,0,0,10.4,0.11333179634094859,0.11333179634094859,0
0.105,0,0,0,10.5,0.11333179634094859,0.11333179634094859,0
0.106,0,0,0,10.6,0.11333179634094859,0.11333179634094859,0
0.107,0,0,0,10.7,0.11333179634094859,0.11333179634094859,0
