year,male,agegp,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,0,2,95,22090,92.16165,20916,86.0055,20390,82.50285
2004,0,2,97.5,22081,94.92259,20904,88.93391,20381,85.15848
2004,0,2,99,13253,97.41719,12550,91.51574,12236,88.51013
2004,0,2,99.9,7953,98.99631,7530,94.02063,7339,91.30256
2004,0,2,100,889,99.79853,841,97.49975,821,94.74046
2004,0,3,2.5,21992,3.642576,17417,13.54806,12969,20.06969
2004,0,3,5,21994,5.882863,17422,14.57448,12971,20.49195
2004,0,3,7.5,21996,8.378451,17420,16.60067,12971,21.83282
2004,0,3,10,21996,10.91254,17424,18.29479,12971,22.89015
2004,0,3,12.5,21994,13.20964,17418,20.10384,12972,24.16339
2004,0,3,15,21996,15.72025,17422,21.63783,12971,25.45453
2004,0,3,17.5,21995,17.94327,17422,23.29956,12972,26.68263
2004,0,3,20,21996,20.40252,17421,25.01703,12969,28.03895
2004,0,3,22.5,21997,22.65821,17420,26.88031,12972,29.78661
2004,0,3,25,21993,24.93979,17421,28.55855,12973,30.99124
2004,0,3,27.5,21994,27.29787,17423,30.13439,12970,32.22915
2004,0,3,30,21997,29.46783,17420,32.0989,12972,33.8227
2004,0,3,32.5,21995,31.94568,17421,33.92077,12971,35.38337
2004,0,3,35,21995,34.36295,17422,35.78809,12971,36.7645
2004,0,3,37.5,21996,36.7113,17422,37.45182,12972,38.15564
2004,0,3,40,21997,38.97607,17419,38.96092,12971,39.55776
2004,0,3,42.5,21994,41.15309,17421,41.00159,12971,41.10715
2004,0,3,45,21997,43.55567,17421,42.92581,12972,42.8363
2004,0,3,47.5,21994,45.79102,17422,44.55331,12971,44.05164
2004,0,3,50,21996,48.05076,17423,46.6304,12972,46.13965
2004,0,3,52.5,21995,50.44738,17420,48.65142,12971,47.77374
2004,0,3,55,21994,52.7537,17422,50.79496,12971,49.70522
2004,0,3,57.5,21997,55.26086,17421,52.77578,12972,51.65558
2004,0,3,60,21995,57.72794,17421,54.75249,12970,53.35208
2004,0,3,62.5,21995,59.99325,17419,57.02965,12971,55.41389
2004,0,3,65,21996,62.47201,17422,59.39028,12973,57.28684
2004,0,3,67.5,21995,65.04347,17422,61.84775,12971,59.56287
2004,0,3,70,21994,67.50215,17421,63.77763,12971,61.68386
2004,0,3,72.5,21998,69.95541,17420,65.96843,12972,63.76053
2004,0,3,75,21994,72.5834,17423,68.96062,12970,66.47955
2004,0,3,77.5,21994,75.17918,17421,71.36077,12973,68.3173
2004,0,3,80,21999,77.65508,17420,73.66005,12970,70.75285
2004,0,3,82.5,21994,80.18494,17421,75.97282,12971,73.04442
2004,0,3,85,21995,82.61769,17422,78.24257,12972,75.14914
2004,0,3,87.5,21996,85.36082,17422,81.31818,12972,78.01704
2004,0,3,90,21995,87.88484,17418,84.0616,12971,81.07989
2004,0,3,92.5,21995,90.42317,17424,86.70561,12971,83.43439
2004,0,3,95,21997,92.54001,17420,88.02634,12971,84.64665
2004,0,3,97.5,21984,95.26794,17414,90.8745,12965,87.67333
2004,0,3,99,13199,97.5363,10452,93.13387,7784,89.62737
2004,0,3,99.9,7917,99.04333,6272,94.71101,4669,92.39857
2004,0,3,100,885,99.71104,701,97.33926,522,93.61029
2004,1,1,2.5,20489,4.135444,19403,17.65094,18738,24.93062
2004,1,1,5,20492,6.935237,19407,19.91887,18743,26.0375
2004,1,1,7.5,20492,9.46497,19406,22.03971,18744,27.60455
2004,1,1,10,20494,12.00034,19407,24.04798,18742,28.78581
2004,1,1,12.5,20493,14.41717,19406,25.6017,18743,29.85435
2004,1,1,15,20491,17.06768,19406,26.7507,18743,30.60572
2004,1,1,17.5,20496,19.50992,19407,28.06504,18742,31.60062
2004,1,1,20,20491,21.94577,19407,28.89929,18745,31.87679
2004,1,1,22.5,20493,24.34827,19406,30.3325,18740,32.9881
2004,1,1,25,20494,26.50645,19408,31.4165,18743,33.88139
2004,1,1,27.5,20491,28.60906,19406,32.38432,18743,34.50193
2004,1,1,30,20491,30.6677,19405,33.7705,18743,35.49479
2004,1,1,32.5,20494,32.82805,19407,35.33935,18744,36.56864
2004,1,1,35,20495,34.91054,19408,36.67071,18740,37.99295
2004,1,1,37.5,20490,37.04867,19407,38.23694,18745,39.22232
2004,1,1,40,20494,39.16068,19406,39.67189,18744,40.59125
2004,1,1,42.5,20493,41.33177,19407,41.27039,18740,41.6852
2004,1,1,45,20493,43.39098,19405,42.71217,18744,42.79723
2004,1,1,47.5,20492,45.59995,19407,44.5985,18742,44.73944
2004,1,1,50,20494,48.00846,19408,46.49041,18743,46.08014
2004,1,1,52.5,20491,50.09808,19406,47.82358,18743,47.45329
2004,1,1,55,20493,52.37421,19407,49.91916,18742,49.07852
2004,1,1,57.5,20492,54.87985,19405,51.73172,18744,50.78233
2004,1,1,60,20492,57.14604,19407,53.82706,18741,52.07823
2004,1,1,62.5,20495,59.5505,19406,55.61841,18744,53.93544
2004,1,1,65,20490,61.86021,19407,57.69631,18744,55.68404
2004,1,1,67.5,20495,64.301,19408,59.51171,18740,57.56872
2004,1,1,70,20494,66.62939,19407,61.70234,18744,59.27707
